,county,population,num_hosp,num_clinics,num_pharma,total_licenses
0,LOSANGELES,"10,163,507",2708.0,305.0,1608.0,4621.0
1,SANDIEGO,"3,337,685",395.0,96.0,6.0,497.0
2,ORANGE,"3,190,400",391.0,52.0,7.0,450.0
3,RIVERSIDE,"2,423,266",257.0,32.0,2.0,291.0
4,SANBERNARDINO,"2,157,404",381.0,22.0,4.0,407.0
5,SANTACLARA,"1,938,153",211.0,32.0,3.0,246.0
6,ALAMEDA,"1,663,190",297.0,54.0,2.0,353.0
7,SACRAMENTO,"1,530,615",171.0,34.0,5.0,210.0
8,CONTRACOSTA,"1,147,439",126.0,25.0,2.0,153.0
9,FRESNO,"989,255",150.0,44.0,6.0,200.0
10,KERN,"893,119",108.0,33.0,149.0,290.0
11,SANFRANCISCO,"884,363",108.0,36.0,0.0,144.0
12,VENTURA,"854,223",201.0,20.0,158.0,379.0
13,SANMATEO,"771,410",97.0,18.0,1.0,116.0
14,SANJOAQUIN,"745,424",98.0,33.0,0.0,131.0
15,STANISLAUS,"547,899",75.0,33.0,5.0,113.0
16,SONOMA,"504,217",85.0,16.0,3.0,104.0
17,TULARE,"464,493",45.0,21.0,67.0,133.0
18,SANTABARBARA,"448,150",82.0,36.0,0.0,118.0
19,SOLANO,"445,458",51.0,13.0,1.0,65.0
20,MONTEREY,"437,907",57.0,24.0,57.0,138.0
21,PLACER,"386,166",37.0,9.0,3.0,49.0
22,SANLUISOBISPO,"283,405",66.0,26.0,0.0,92.0
23,SANTACRUZ,"275,897",28.0,11.0,1.0,40.0
24,MERCED,"272,673",43.0,13.0,36.0,92.0
25,MARIN,"260,955",49.0,15.0,43.0,107.0
26,BUTTE,"229,294",43.0,8.0,2.0,53.0
27,YOLO,"219,116",20.0,8.0,29.0,57.0
28,ELDORADO,"188,987",17.0,1.0,0.0,18.0
29,IMPERIAL,"182,830",26.0,2.0,26.0,54.0
30,SHASTA,"179,921",44.0,16.0,0.0,60.0
31,MADERA,"156,890",18.0,7.0,23.0,48.0
32,KINGS,"150,101",19.0,12.0,21.0,52.0
33,NAPA,"140,973",20.0,10.0,23.0,53.0
34,HUMBOLDT,"136,754",0.0,0.0,0.0,0.0
35,NEVADA,"99,814",16.0,5.0,15.0,36.0
36,SUTTER,"96,648",23.0,13.0,0.0,36.0
37,MENDOCINO,"88,018",28.0,9.0,20.0,57.0
38,YUBA,"77,031",12.0,3.0,10.0,25.0
39,LAKE,"64,246",15.0,4.0,12.0,31.0
40,TEHAMA,"63,926",10.0,2.0,0.0,12.0
41,SANBENITO,"60,310",6.0,1.0,0.0,7.0
42,TUOLUMNE,"54,248",11.0,2.0,10.0,23.0
43,CALAVERAS,"45,670",5.0,1.0,0.0,6.0
44,SISKIYOU,"43,853",13.0,6.0,0.0,19.0
45,AMADOR,"38,626",5.0,3.0,0.0,8.0
46,LASSEN,"31,163",7.0,16.0,7.0,30.0
47,GLENN,"28,094",5.0,2.0,5.0,12.0
48,DELNORTE,"27,470",6.0,4.0,0.0,10.0
49,COLUSA,"21,805",5.0,2.0,1.0,8.0
50,PLUMAS,"18,742",0.0,0.0,0.0,0.0
51,INYO,"18,026",6.0,1.0,5.0,12.0
52,MARIPOSA,"17,569",5.0,1.0,2.0,8.0
53,MONO,"14,168",0.0,0.0,0.0,0.0
54,TRINITY,"12,709",3.0,1.0,0.0,4.0
55,MODOC,"8,859",3.0,1.0,2.0,6.0
56,SIERRA,"2,999",0.0,0.0,0.0,0.0
57,ALPINE,"1,120",0.0,0.0,0.0,0.0
