,name,license_type,city,county,zip
0,ALTA BATES SUMMIT PERINATAL CENTER ,License Type: Clinic,OAKLAND, ALAMEDA, 94609
1,AMADOR COUNTY PUBLIC HEALTH ,License Type: Clinic (Government Owned),SUTTER CREEK, AMADOR, 95685
2,AMPLA HEALTH ARBUCKLE MEDICAL & DENTAL ,License Type: Clinic,ARBUCKLE, COLUSA, 95912
3,"AMPLA HEALTH CHICO MEDICAL, PEDIATRICS & DENTAL ",License Type: Clinic,CHICO, BUTTE, 95926
4,AMPLA HEALTH COLUSA MEDICAL ,License Type: Clinic,COLUSA, COLUSA, 95932
5,AMPLA HEALTH GRIDLEY MEDICAL ,License Type: Clinic,GRIDLEY, BUTTE, 95948
6,AMPLA HEALTH MAGALIA MEDICAL ,License Type: Clinic,MAGALIA, BUTTE, 95954
7,AMPLA HEALTH OROVILLE MEDICAL & DENTAL ,License Type: Clinic,OROVILLE, BUTTE, 95966
8,ARIA COMMUNITY HEALTH CENTER - RIVERDALE ,License Type: Clinic,RIVERDALE, FRESNO, 93656
9,ASIAN HEALTH SERVICES INC ,License Type: Clinic,OAKLAND, ALAMEDA, 94607
10,AXIS COMMUNITY HEALTH ,License Type: Clinic,LIVERMORE, ALAMEDA, 94550
11,AXIS COMMUNITY HEALTH ,License Type: Clinic,PLEASANTON, ALAMEDA, 94588
12,AXIS COMMUNITY HEALTH ,License Type: Clinic,PLEASANTON, ALAMEDA, 94566
13,BAY SURGERY CENTER ,License Type: Clinic,OAKLAND, ALAMEDA, 94609
14,BERKELEY HIGH SCHOOL HEALTH CENTER ,License Type: Clinic (Government Owned),BERKELEY, ALAMEDA, 94704
15,BERKELEY MENTAL HEALTH ,License Type: Clinic (Government Owned),BERKELEY, ALAMEDA, 94704
16,BERKELEY PUBLIC HEALTH CLINIC ,License Type: Clinic (Government Owned),BERKELEY, ALAMEDA, 94710
17,BERKELEY TECHNOLOGY ACADEMY HEALTH CENTER ,License Type: Clinic (Government Owned),BERKELEY, ALAMEDA, 94703
18,BRENTWOOD SURGERY CENTER LLC ,License Type: Clinic,BRENTWOOD, CONTRA COSTA, 94513
19,CALIFORNIA COLON & RECTAL CANCER SCREENING CENTER LLC ,License Type: Clinic,FRESNO, FRESNO, 93720
20,CALIFORNIA EYE CLINIC ,License Type: Clinic,ANTIOCH, CONTRA COSTA, 94531
21,CALIFORNIA STATE UNIVERSITY EAST BAY ,License Type: Clinic (Government Owned),HAYWARD, ALAMEDA, 94542
22,CALIFORNIA STATE UNIVERSITY EAST BAY ,License Type: Clinic (Government Owned),CONCORD, CONTRA COSTA, 94521
23,CANYON PINOLE SURGERY CENTER ,License Type: Clinic,PINOLE, CONTRA COSTA, 94564
24,CENTRAL CALIFORNIA ENDOSCOPY CENTER ,License Type: Clinic,FRESNO, FRESNO, 93720
25,CHEST CLINIC ,License Type: Clinic (Government Owned),FRESNO, FRESNO, 93721
26,CLINICA ALTA VISTA ,License Type: Clinic,OAKLAND, ALAMEDA, 94601
27,COMPREHENSIVE PAIN MANAGEMENT ,License Type: Clinic,FRESNO, FRESNO, 93720
28,COUNTY OF ALAMEDA HEALTH CARE FOR THE HOMELESS ,License Type: Clinic (Government Owned),SAN LEANDRO, ALAMEDA, 94577
29,COUNTY OF ALAMEDA HEALTH CARE FOR THE HOMELESS PROGRAM ,License Type: Clinic (Government Owned),OAKLAND, ALAMEDA, 94601
30,DANVILLE AMBULATORY SURGERY CENTER ,License Type: Clinic,DANVILLE, CONTRA COSTA, 94526
31,DEL NORTE COMMUNITY HEALTH CENTER ,License Type: Clinic,CRESCENT CITY, DEL NORTE, 95531
32,DIALYSIS ACCESS CENTER INC ,License Type: Clinic,OAKLAND, ALAMEDA, 94609
33,EAST BAY ENDOSCOPY CENTER LP ,License Type: Clinic,EMERYVILLE, ALAMEDA, 94608
34,EAST BAY ENDOSURGERY CENTER ,License Type: Clinic,OAKLAND, ALAMEDA, 94612
35,EASTMONT WELLNESS ,License Type: Clinic (Government Owned),OAKLAND, ALAMEDA, 94605
36,EASTON COMMUNITY HEALTH CENTER ,License Type: Clinic,FRESNO, FRESNO, 93706
37,EL DORADO SURGERY CENTER ,License Type: Clinic,PLACERVILLE, EL DORADO, 95667
38,ELM COMMUNITY HEALTH CENTER ,License Type: Clinic,FRESNO, FRESNO, 93706
39,ELM DENTAL ,License Type: Clinic,FRESNO, FRESNO, 93706
40,ELM WOMEN'S PEDIATRIC COMMUNITY HEALTH CENTER ,License Type: Clinic,FRESNO, FRESNO, 93706
41,EYE CENTER OF NO. CALIFORNIA SURGICENTER ,License Type: Clinic,EL CERRITO, CONTRA COSTA, 94530
42,EYE MD LASER AND SURGERY CENTER ,License Type: Clinic,OAKLAND, ALAMEDA, 94609
43,FAMILY FIRST HEALTHCARE A SERVICE OF PLANNED PARENTHOOD ,License Type: Clinic,FRESNO, FRESNO, 93710
44,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,FRESNO, FRESNO, 93701
45,FEATHER RIVER TRIBAL HEALTH INC ,License Type: Clinic,OROVILLE, BUTTE, 95965
46,FRANK KIANG MEDICAL CENTER ,License Type: Clinic,OAKLAND, ALAMEDA, 94606
47,FRESNO CA MULTI ASC LP DBA HERNDON SURGERY CENTER ,License Type: Clinic,FRESNO, FRESNO, 93720
48,FRESNO COUNTY DBH- HERITAGE CENTER ,License Type: Clinic (Government Owned),FRESNO, FRESNO, 93703
49,FRESNO COUNTY DBH- WEST FRESNO REGIONAL CENTER ,License Type: Clinic (Government Owned),FRESNO, FRESNO, 93706
50,FRESNO COUNTY DBH-BUILDING 319 ,License Type: Clinic (Government Owned),FRESNO, FRESNO, 93702
51,FRESNO COUNTY DBH-MOD E ,License Type: Clinic (Government Owned),FRESNO, FRESNO, 93702
52,FRESNO COUNTY EOC HEALTH SERVICES CLINIC ,License Type: Clinic,FRESNO, FRESNO, 93721
53,FRESNO COUNTY MENTAL HEALTH CLINIC ,License Type: Clinic (Government Owned),FRESNO, FRESNO, 93702
54,FRESNO DENTAL SURGERY CENTER INC ,License Type: Clinic,FRESNO, FRESNO, 93721
55,FRESNO ENDOSCOPY CENTER ,License Type: Clinic,FRESNO, FRESNO, 93720
56,FRESNO MOBILE UNIT ,License Type: Clinic,FRESNO, FRESNO, 93722
57,FUENTE WELLNESS CENTER ,License Type: Clinic,SAN LEANDRO, ALAMEDA, 94578
58,GARLAND COMMUNITY HEALTH CENTER ,License Type: Clinic,FRESNO, FRESNO, 93726
59,GASTON MIDDLE SCHOOL HEALTH AND WELLNESS CENTER ,License Type: Clinic,FRESNO, FRESNO, 93706
60,GASTROENTEROLOGY & LIVER DISEASE ,License Type: Clinic,FRESNO, FRESNO, 93720
61,GREATER FRESNO HEALTH ORGN INC DBA NORTH MARKS MEDICAL CLINIC ,License Type: Clinic,FRESNO, FRESNO, 93722
62,HACIENDA OUTPATIENT SURGERY CENTER LLC DBA HACIENDA SURGERY CTR ,License Type: Clinic,PLEASANTON, ALAMEDA, 94588
63,HAVENSCOURT HEALTH CENTER ,License Type: Clinic,OAKLAND, ALAMEDA, 94621
64,HAWTHORNE CLINIC ,License Type: Clinic,OAKLAND, ALAMEDA, 94601
65,HAYWARD WELLNESS ,License Type: Clinic (Government Owned),HAYWARD, ALAMEDA, 94545
66,IRON HORSE SURGERY CENTER ,License Type: Clinic,DANVILLE, CONTRA COSTA, 94526
67,KINGS WINERY MEDICAL CLINIC ,License Type: Clinic,FRESNO, FRESNO, 93727
68,KY ADVANCED SURGERY CENTER ,License Type: Clinic,FRESNO, FRESNO, 93726
69,LAGS SURGERY CENTER FRESNO ,License Type: Clinic,FRESNO, FRESNO, 93710
70,LASER SURGERY CENTER ,License Type: Clinic,WALNUT CREEK, CONTRA COSTA, 94598
71,LAWRENCE LIVERMORE NATIONAL LABORATORY HEALTH SERVICES ,License Type: Clinic,LIVERMORE, ALAMEDA, 94550
72,LIFELONG ASHBY HEALTH CENTER ,License Type: Clinic,BERKELEY, ALAMEDA, 94703
73,LIFELONG BROOKSIDE COMMUNITY HEALTH CENTER- SAN PABLO ,License Type: Clinic,SAN PABLO, CONTRA COSTA, 94806
74,LIFELONG MEDICAL CARE - HOWARD DANIEL CLINIC ,License Type: Clinic,OAKLAND, ALAMEDA, 94605
75,LIFELONG MEDICAL CARE INC ,License Type: Clinic,OAKLAND, ALAMEDA, 94608
76,LOGAN HEALTH CENTER ,License Type: Clinic,UNION CITY, ALAMEDA, 94587
77,MACT MEDICAL CLINIC JACKSON ,License Type: Clinic,JACKSON, AMADOR, 95642
78,MACT MEDICAL SAN ANDREAS ,License Type: Clinic,SAN ANDREAS, CALAVERAS, 95249
79,MILLBROOK COMMUNITY HEALTH CENTER ,License Type: Clinic,FRESNO, FRESNO, 93720
80,NATIVE AMERICAN HEALTH CENTER INC ,License Type: Clinic,OAKLAND, ALAMEDA, 94601
81,NEWARK WELLNESS ,License Type: Clinic (Government Owned),NEWARK, ALAMEDA, 94560
82,NORTH FINE COMMUNITY HEALTH CENTER ,License Type: Clinic,FRESNO, FRESNO, 93727
83,NORTH POINT SURGERY CENTER INC ,License Type: Clinic,FRESNO, FRESNO, 93711
84,OLDER ADULT MENTAL HEALTH CLINIC ,License Type: Clinic (Government Owned),FRESNO, FRESNO, 93727
85,OPTIMA OPHTHALMIC MED ASSOC INC ,License Type: Clinic,HAYWARD, ALAMEDA, 94541
86,ORANGE & BUTLER COMMUNITY HEALTH CENTER ,License Type: Clinic,FRESNO, FRESNO, 93702
87,OUTPATIENT SERVICES AT CHILDREN'S SPECIALTY CARE ,License Type: Clinic,WALNUT CREEK, CONTRA COSTA, 94598
