,name,license_type,city,county,zip
0,ADVANCED ENDOSCOPY CENTER ,License Type: Clinic,MERCED, MERCED, 95348
1,ADVANCED MEDICAL SURGERY CENTER ,License Type: Clinic,SALINAS, MONTEREY, 93901
2,ALISAL HEALTH CENTER ,License Type: Clinic (Government Owned),SALINAS, MONTEREY, 93905
3,ANDERSON VALLEY HEALTH CENTER ,License Type: Clinic,BOONVILLE, MENDOCINO, 95415
4,BIENESTAR-NATIVIDAD MEDICAL CENTER ,License Type: Clinic (Government Owned),SALINAS, MONTEREY, 93906
5,BON AIR SURGERY CENTER LLC ,License Type: Clinic,GREENBRAE, MARIN, 94904
6,CANBY FAMILY PRACTICE CLINIC ,License Type: Clinic,CANBY, MODOC, 96015
7,CASTLE FAMILY HEALTH @ BLOSS ,License Type: Clinic,ATWATER, MERCED, 95301
8,CASTLE FAMILY HEALTH CENTER @ CASTLE ,License Type: Clinic,ATWATER, MERCED, 95301
9,CASTLE FAMILY HEALTH CENTERS @ WINTON ,License Type: Clinic,WINTON, MERCED, 95388
10,CASTLE SURGICENTER ,License Type: Clinic,ATWATER, MERCED, 95301
11,"CENTER POINT, INC ",License Type: Clinic,SAN RAFAEL, MARIN, 94901
12,CHAPA-DE INDIAN HEALTH PROGRAM INC ,License Type: Clinic,GRASS VALLEY, NEVADA, 95945
13,CLINICA DE SALUD DEL VALLE DE SALINAS ,License Type: Clinic,SALINAS, MONTEREY, 93905
14,CLINICA DE SALUD DEL VALLE DE SALINAS ,License Type: Clinic,SALINAS, MONTEREY, 93905
15,CLINICA DE SALUD DEL VALLE DE SALINAS ,License Type: Clinic,SOLEDAD, MONTEREY, 93960
16,CLINICA DE SALUD DEL VALLE DE SALINAS ,License Type: Clinic,CASTROVILLE, MONTEREY, 95012
17,CLINICA DE SALUD DEL VALLE DE SALINAS ,License Type: Clinic,CHUALAR, MONTEREY, 93925
18,CLINICA DE SALUD DEL VALLE DE SALINAS ,License Type: Clinic,GREENFIELD, MONTEREY, 93927
19,CLINICA DE SALUD DEL VALLE DE SALINAS - ALVIN ,License Type: Clinic,SALINAS, MONTEREY, 93906
20,CLINICA DE SALUD DEL VALLE DE SALINAS - KING CITY ,License Type: Clinic,KING CITY, MONTEREY, 93930
21,CLINICA DE SALUD DEL VALLE DE SALINAS - PAJARO ,License Type: Clinic,ROYAL OAKS, MONTEREY, 95076
22,CLINICA DE SALUD DEL VALLE DE SALINAS- NORTH MAIN ,License Type: Clinic,SALINAS, MONTEREY, 93905
23,CLINICA DE SALUD DEL VALLE DE SALINAS-GONZALES ,License Type: Clinic,GONZALES, MONTEREY, 93926
24,CONSOLIDATED TRIBAL HEALTH PROJECT INC ,License Type: Clinic,REDWOOD VALLEY, MENDOCINO, 95470
25,ENDOSCOPY CENTER OF MARIN ,License Type: Clinic,GREENBRAE, MARIN, 94904
26,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,LOS BANOS, MERCED, 93635
27,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,DOS PALOS, MERCED, 93620
28,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,LE GRAND, MERCED, 95333
29,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,MERCED, MERCED, 95341
30,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,MERCED, MERCED, 95341
