,name,license_type,city,county,zip
0,25TH STREET FAMILY MEDICINE ,License Type: Clinic,SAN DIEGO, SAN DIEGO, 92102
1,AARONSON PLASTIC SURGERY CENTER ,License Type: Clinic,PALM SPRINGS, RIVERSIDE, 92262
2,ADELANTO COMMUNITY HEALTH CENTER ,License Type: Clinic (Government Owned),ADELANTO, SAN BERNARDINO, 92301
3,ADVANCED PAIN MANAGEMENT ,License Type: Clinic,RANCHO MIRAGE, RIVERSIDE, 92270
4,AESTHETICARE SURGERY CENTER ,License Type: Clinic,SAN JUAN CAPISTRANO, ORANGE, 92675
5,ALICIA SURGERY CENTER LLC ,License Type: Clinic,LAGUNA HILLS, ORANGE, 92653
6,ALPINE FAMILY MEDICINE ,License Type: Clinic,ALPINE, SAN DIEGO, 91901
7,AMHS CRISIS STABILIZATION UNIT (CSU) ,License Type: Clinic (Government Owned),SANTA ANA, ORANGE, 92707
8,AURORA SURGERY CENTER LP ,License Type: Clinic,PALM DESERT, RIVERSIDE, 92260
9,BALBOA TEEN HEALTH CENTER ,License Type: Clinic (Government Owned),SAN FRANCISCO, SAN FRANCISCO, 94112
10,BARRANCA SURGERY CENTER ,License Type: Clinic,IRVINE, ORANGE, 92606
11,BEACH AREA FAMILY HEALTH CENTER ,License Type: Clinic,SAN DIEGO, SAN DIEGO, 92109
12,BEACH AREA WOMEN'S HEALTH CENTER ,License Type: Clinic,SAN DIEGO, SAN DIEGO, 92109
13,BEAUMONT SURGERY CENTER LLC DBA HIGHLAND SPRINGS SURGERY CENTER ,License Type: Clinic,BEAUMONT, RIVERSIDE, 92223
14,BROCKTON SURGERY CENTER ,License Type: Clinic,RIVERSIDE, RIVERSIDE, 92506
15,CA STATE UNIVERSITY FULLERTON ,License Type: Clinic (Government Owned),FULLERTON, ORANGE, 92834
16,CAL STATE UNIVERSITY SAN MARCOS SHCS ,License Type: Clinic (Government Owned),SAN MARCOS, SAN DIEGO, 92096
17,CALIFORNIA SPECIALTY SURGERY CENTER LP ,License Type: Clinic,MISSION VIEJO, ORANGE, 92961
18,CALIFORNIA STATE UNIVERSITY SAN BERNARDINO STUDENT HEALTH CENTER ,License Type: Clinic (Government Owned),SAN BERNARDINO, SAN BERNARDINO, 92407
19,CAMINO HEALTH CENTER ,License Type: Clinic,SAN JUAN CAPISTRANO, ORANGE, 92675
20,CAPITOL CITY SURGERY CENTER ,License Type: Clinic,SACRAMENTO, SACRAMENTO, 95815
21,CARLSBAD SURGERY CENTER LLC ,License Type: Clinic,CARLSBAD, SAN DIEGO, 92011
22,CASTRO-MISSION HEALTH CENTER ,License Type: Clinic (Government Owned),SAN FRANCISCO, SAN FRANCISCO, 94114
23,CENTER FOR ENDOSCOPY LLC ,License Type: Clinic,OCEANSIDE, SAN DIEGO, 92056
24,CENTRAL CITY COMMUNITY HEALTH CENTER ,License Type: Clinic,GARDEN GROVE, ORANGE, 92840
25,CENTRAL CITY COMMUNITY HEALTH CENTER ,License Type: Clinic,NORCO, RIVERSIDE, 92860
26,"CENTRAL CITY COMMUNITY HEALTH CENTER, INC. ",License Type: Clinic,STANTON, ORANGE, 90680
