,name,license_type,city,county,zip
0,34TH ST COMMUNITY HEALTH CENTER ,License Type: Clinic,BAKERSFIELD, KERN, 93301
1,77TH STREET JAIL CLINIC ,License Type: Clinic (Government Owned),LOS ANGELES, LOS ANGELES, 90003
2,AAA COMPREHENSIVE HEALTHCARE INC ,License Type: Clinic,NORTH HOLLYWOOD, LOS ANGELES, 91605
3,ABBEY APARTMENTS ,License Type: Clinic,LOS ANGELES, LOS ANGELES, 90014
4,ADVANCED DIAGNOSTIC & SURGICAL CTR ,License Type: Clinic,ALHAMBRA, LOS ANGELES, 91754
5,ADVANCED ENDOSCOPY AND PAIN CENTER LLC ,License Type: Clinic,LANCASTER, LOS ANGELES, 93534
6,ADVENTIST HEALTH CLEAR LAKE KONOCTI WELLNESS CENTER ,License Type: Clinic,LOWER LAKE, LAKE, 95457
7,ADVENTIST HEALTH CLEAR LAKE MADICAL OFFICE ,License Type: Clinic,CLEARLAKE, LAKE, 95422
8,ADVENTIST HEALTH CLEAR LAKE MEDICAL OFFICE ,License Type: Clinic,MIDDLETOWN, LAKE, 95461
9,ADVENTIST HEALTH CLEAR LAKE MEDICAL OFFICE ,License Type: Clinic,KELSEYVILLE, LAKE, 95422
10,ADVENTIST HEALTH HANFORD ,License Type: Clinic,HANFORD, KINGS, 93230
11,AIRPORT ENDOSCOPY CENTER ,License Type: Clinic,LOS ANGELES, LOS ANGELES, 90045
12,ALAMEDA SURGERY CENTER LP ,License Type: Clinic,BURBANK, LOS ANGELES, 91505
13,"ALL FOR HEALTH, HEALTH FOR ALL ",License Type: Clinic,GLENDALE, LOS ANGELES, 91205
14,ALL KIDS DENTAL SURGERY CENTER ,License Type: Clinic,BAKERSFIELD, KERN, 93301
15,ALL-INCLUSIVE COMMUNITY HEALTH CNTR ,License Type: Clinic,BURBANK, LOS ANGELES, 91504
16,ALTA MEDICAL GROUP - GRAND PLAZA ,License Type: Clinic,LOS ANGELES, LOS ANGELES, 90012
17,ALVARADO EYE SURGERY CENTER LLC ,License Type: Clinic,LOS ANGELES, LOS ANGELES, 90057
18,AMPLA HEALTH HAMILTON CITY MEDICAL ,License Type: Clinic,HAMILTON CITY, GLENN, 95951
19,AMPLA HEALTH ORLAND MEDICAL & DENTAL ,License Type: Clinic,ORLAND, GLENN, 95963
20,ANTELOPE VALLEY COMMUNITY CLINIC - PALMDALE ,License Type: Clinic,PALMDALE, LOS ANGELES, 93550
