,name,license_type,city,county,zip
0,ABJ SURGERY CENTER INC ,License Type: Clinic,SAN MATEO, SAN MATEO, 94401
1,ADVANCED SURGERY CENTER ,License Type: Clinic,SAN JOSE, SANTA CLARA, 95124
2,ADVANCED SURGERY CENTER ,License Type: Clinic,SAN JOSE, SANTA CLARA, 95128
3,AMBULATORY SURGERY CENTER OF STOCKTON ,License Type: Clinic,STOCKTON, SAN JOAQUIN, 95204
4,ANDERSON FAMILY HEALTH CENTER ,License Type: Clinic,ANDERSON, SHASTA, 96007
5,APOGEE SURGERY CENTER ,License Type: Clinic,REDDING, SHASTA, 96001
6,BASCOM SURGERY CENTER ,License Type: Clinic,CAMPBELL, SANTA CLARA, 95008
7,BAY AREA DENTAL SURGERY CENTER ,License Type: Clinic,MILPITAS, SANTA CLARA, 95305
8,BURNEY HEALTH CENTER ,License Type: Clinic,BURNEY, SHASTA, 96013
9,BUTTE VALLEY HEALTH CENTER ,License Type: Clinic,DORRIS, SISKIYOU, 96023
10,CAL POLY HEALTH SERVICES ,License Type: Clinic (Government Owned),SAN LUIS OBISPO, SAN LUIS OBISPO, 93407
11,CAMPUS SURGERY CENTER ,License Type: Clinic,DALY CITY, SAN MATEO, 94015
12,CAPITOLA SURGERY CENTER ,License Type: Clinic,CAPITOLA, SANTA CRUZ, 95010
13,CENTER FOR SPECIALIZED SURGERY OF SANTA BARBARA ,License Type: Clinic,SANTA BARBARA, SANTA BARBARA, 93105
14,CENTRAL COAST SURGERY CENTER ,License Type: Clinic,FREEDOM, SANTA CRUZ, 95019
15,CHC PALISADE WOMENS HEALTH ,License Type: Clinic,SANTA MARIA, SANTA BARBARA, 93454
16,CHC TEMPLETON WOMEN'S HEALTH ,License Type: Clinic,TEMPLETON, SAN LUIS OBISPO, 93465
17,CHINESE HOSPITAL DALY CITY HEALTH SERVICES ,License Type: Clinic,DALY CITY, SAN MATEO, 94015
18,CHINESE HOSPITAL GELLERT HEALTH SERVICES ,License Type: Clinic,DALY CITY, SAN MATEO, 94015
19,COASTAL SURGICAL INSTITUTE ,License Type: Clinic,PISMO BEACH, SAN LUIS OBISPO, 93449
20,COMMUNITY HEALTH CENTERS ,License Type: Clinic,SANTA MARIA, SANTA BARBARA, 93454
21,COMMUNITY HEALTH CENTERS ,License Type: Clinic,SANTA MARIA, SANTA BARBARA, 93455
