,name,license_type,city,county,zip
0,4TH STREET LASER AND SURGERY CENTER ,License Type: Clinic,SANTA ROSA, SONOMA, 95404
1,ADVANCED MEDICAL CARE CENTER LLC ,License Type: Clinic,VISALIA, TULARE, 93277
2,ALLIANCE MEDICAL CENTER ,License Type: Clinic,WINDSOR, SONOMA, 95492
3,ALLIANCE MEDICAL CENTER ,License Type: Clinic,HEALDSBURG, SONOMA, 95448
4,ALTA FAMILY HEALTH CLINIC INC ,License Type: Clinic,DINUBA, TULARE, 93618
5,AMPLA HEALTH LINDHURST MEDICAL & DENTAL ,License Type: Clinic,OLIVEHURST, YUBA, 95961
6,AMPLA HEALTH LOS MOLINOS MEDICAL ,License Type: Clinic,LOS MOLINOS, TEHAMA, 96055
7,AMPLA HEALTH RICHLAND MEDICAL ,License Type: Clinic,YUBA CITY, SUTTER, 95991
8,AMPLA HEALTH YUBA CITY MEDICAL ,License Type: Clinic,YUBA CITY, SUTTER, 95991
9,AMPLA HEALTH YUBA CITY PEDIATRICS ,License Type: Clinic,YUBA CITY, SUTTER, 95991
10,BROOKWOOD HEALTH CENTER ,License Type: Clinic,SANTA ROSA, SONOMA, 95404
11,CA MINIMALLY INVASIVE SURG CTR INC ,License Type: Clinic,THOUSAND OAKS, VENTURA, 91320
12,CALIFORNIA STATE UNIVERSITY ,License Type: Clinic (Government Owned),TURLOCK, STANISLAUS, 95382
13,CERES MEDICAL OFFICE ,License Type: Clinic (Government Owned),CERES, STANISLAUS, 95307
14,CHANNEL ISLANDS SURGICENTER ,License Type: Clinic,OXNARD, VENTURA, 93031
15,CITY OF HOPE SIMI VALLEY ,License Type: Clinic,SIMI VALLEY, VENTURA, 93065
16,"COMMUNICARE HEALTH CENTERS, HANSEN FAMILY HEALTH CENTER ",License Type: Clinic,WOODLAND, YOLO, 95695
17,COMMUNITY CORRECTIONS ANNEX FOR MEDICATIONS ,License Type: Clinic (Government Owned),MODESTO, STANISLAUS, 95358
18,"COMMUNITY MEDICAL CENTERS, ESPARTO ",License Type: Clinic,ESPARTO, YOLO, 95627
19,COURTYARD SURGERY PAVILION ,License Type: Clinic,VISALIA, TULARE, 93291
20,DAVIS COMMUNITY CLINIC ,License Type: Clinic,DAVIS, YOLO, 95616
21,ELSIE ALLEN HEALTH CENTER ,License Type: Clinic,SANTA ROSA, SONOMA, 95407
22,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,DINUBA, TULARE, 93618
23,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,WOODLAKE, TULARE, 93286
24,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,FARMERSVILLE, TULARE, 93223
25,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,IVANHOE, TULARE, 93235
26,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,VISALIA, TULARE, 93291
27,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,VISALIA, TULARE, 93291
28,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,VISALIA, TULARE, 93291
29,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,TULARE, TULARE, 93274
30,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,TULARE, TULARE, 93274
31,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,TRAVER, TULARE, 93673
32,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,THREE RIVERS, TULARE, 93271
33,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,TERRA BELLA, TULARE, 93270
34,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,STRATHMORE, TULARE, 93267
35,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,SPRINGVILLE, TULARE, 93265
36,FAMILY HEALTHCARE NETWORK ,License Type: Clinic,PIXLEY, TULARE, 93256
37,FARMERSVILLE HEALTH CENTER TULARE COUNTY HEALTH ,License Type: Clinic (Government Owned),FARMERSVILLE, TULARE, 93223
38,FREE CLINIC OF SIMI VALLEY ,License Type: Clinic,SIMI VALLEY, VENTURA, 93063
39,FSP CO-OCCURING DISORDERS PROJECT ,License Type: Clinic (Government Owned),CERES, STANISLAUS, 95307
40,GOLDEN VALLEY HEALTH CENTER ,License Type: Clinic,MODESTO, STANISLAUS, 95358
41,GOLDEN VALLEY HEALTH CENTER ,License Type: Clinic,MODESTO, STANISLAUS, 95354
42,GOLDEN VALLEY HEALTH CENTER ,License Type: Clinic,MODESTO, STANISLAUS, 95351
43,GOLDEN VALLEY HEALTH CENTER ,License Type: Clinic,PATTERSON, STANISLAUS, 95363
44,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,CERES, STANISLAUS, 95307
45,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,NEWMAN, STANISLAUS, 95360
46,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,WESTLEY, STANISLAUS, 95387
47,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,MODESTO, STANISLAUS, 95354
48,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,MODESTO, STANISLAUS, 95350
49,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,MODESTO, STANISLAUS, 95354
50,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,RIVERBANK, STANISLAUS, 95367
51,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,TURLOCK, STANISLAUS, 95380
52,GOLDEN VALLEY HEALTH CENTERS ,License Type: Clinic,TURLOCK, STANISLAUS, 95380
53,HAPY BEAR SURGERY CENTER LLC ,License Type: Clinic,TULARE, TULARE, 93274
54,HIGH RISK HEALTH AND SENIOR ACCESS (HRHSA) ,License Type: Clinic (Government Owned),MODESTO, STANISLAUS, 95354
55,HUGHSON MEDICAL OFFICE ,License Type: Clinic (Government Owned),HUGHSON, STANISLAUS, 95326
56,INTEGRATED FORENSICS TEAM ,License Type: Clinic (Government Owned),MODESTO, STANISLAUS, 95354
57,JOSIE'S PLACE SERVICE TEAM ,License Type: Clinic (Government Owned),MODESTO, STANISLAUS, 95354
58,"JOURNEY LITE OF THE CENTRAL COAST, LLC ",License Type: Clinic,THOUSAND OAKS, VENTURA, 91361
59,JUVENILE JUSTICE ,License Type: Clinic (Government Owned),MODESTO, STANISLAUS, 95351
60,KAWEAH DELTA HEALTH CARE INC TULARE CARDIOLOGY CENTER ,License Type: Clinic,TULARE, TULARE, 93274
61,LEAPS & BOUNDS ,License Type: Clinic (Government Owned),MODESTO, STANISLAUS, 95356
62,LIVINGSTON COMMUNITY HEALTH - BENTLEY HEALTH CENTER ,License Type: Clinic,WATERFORD, STANISLAUS, 95386
63,LIVINGSTON COMMUNITY HEALTH - LAS PALMAS HEALTH CENTER ,License Type: Clinic,PATTERSON, STANISLAUS, 95363
64,MACT MEDICAL SONORA ,License Type: Clinic,SONORA, TUOLUMNE, 95370
65,MCHENRY MEDICAL OFFICE ,License Type: Clinic (Government Owned),MODESTO, STANISLAUS, 95350
66,MILL CREEK AMBULATORY SURGERY CENTER ,License Type: Clinic,VISALIA, TULARE, 93291
67,MODESTO RECOVERY SERVICES ,License Type: Clinic (Government Owned),MODESTO, STANISLAUS, 95354
68,MODESTO SURGERY CENTER INC ,License Type: Clinic,MODESTO, STANISLAUS, 95350
69,NATRAJ SURGERY CLINIC INC ,License Type: Clinic,PORTERVILLE, TULARE, 93257
70,NOBLE SURGERY CENTER ,License Type: Clinic,VISALIA, TULARE, 93277
71,"NORTH BAY EYE ASSOCIATES, ASC ",License Type: Clinic,SANTA ROSA, SONOMA, 95401
72,NORTH OXNARD PUBLIC HEALTH ,License Type: Clinic (Government Owned),OXNARD, VENTURA, 93036
73,NORTHERN CALIFORNIA SURGERY CENTER ,License Type: Clinic,TURLOCK, STANISLAUS, 95382
74,PACIFIC SURGERY CENTER OF VENTURA ,License Type: Clinic,VENTURA, VENTURA, 93003
75,PARADISE MEDICAL OFFICE ,License Type: Clinic (Government Owned),MODESTO, STANISLAUS, 95351
76,PDI SURGERY CENTER ,License Type: Clinic,WINDSOR, SONOMA, 95492
77,PEDIATRIC CLINIC ,License Type: Clinic (Government Owned),MODESTO, STANISLAUS, 95350
78,PLANNED PARENTHOOD ,License Type: Clinic,WOODLAND, YOLO, 95695
