County,Population
Los Angeles,"10,163,507"
San Diego,"3,337,685"
Orange,"3,190,400"
Riverside,"2,423,266"
San Bernardino,"2,157,404"
Santa Clara,"1,938,153"
Alameda,"1,663,190"
Sacramento,"1,530,615"
Contra Costa,"1,147,439"
Fresno,"989,255"
Kern,"893,119"
San Francisco,"884,363"
Ventura,"854,223"
San Mateo,"771,410"
San Joaquin,"745,424"
Stanislaus,"547,899"
Sonoma,"504,217"
Tulare,"464,493"
Santa Barbara,"448,150"
Solano,"445,458"
Monterey,"437,907"
Placer,"386,166"
San Luis Obispo,"283,405"
Santa Cruz,"275,897"
Merced,"272,673"
Marin,"260,955"
Butte,"229,294"
Yolo,"219,116"
El Dorado,"188,987"
Imperial,"182,830"
Shasta,"179,921"
Madera,"156,890"
Kings,"150,101"
Napa,"140,973"
Humboldt,"136,754"
Nevada,"99,814"
Sutter,"96,648"
Mendocino,"88,018"
Yuba,"77,031"
Lake,"64,246"
Tehama,"63,926"
San Benito,"60,310"
Tuolumne,"54,248"
Calaveras,"45,670"
Siskiyou,"43,853"
Amador,"38,626"
Lassen,"31,163"
Glenn,"28,094"
Del Norte,"27,470"
Colusa,"21,805"
Plumas,"18,742"
Inyo,"18,026"
Mariposa,"17,569"
Mono,"14,168"
Trinity,"12,709"
Modoc,"8,859"
Sierra,"2,999"
Alpine,"1,120"
