OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
106010735,ALAMEDA HOSPITAL,140000002,Parent Facility,2070 CLINTON AVE,ALAMEDA,94501,01,ALAMEDA,Emergency - Basic,135,Open,1946-01-01,Hospital,General Acute Care Hospital,37.76266000,-122.25399100
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,140000004,Parent Facility,2450 ASHBY AVENUE,BERKELEY,94705,01,ALAMEDA,Emergency - Basic,347,Open,1946-01-02,Hospital,General Acute Care Hospital,37.85645000,-122.25743000
106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,140000015,Parent Facility,747 52ND STREET,OAKLAND,94609,01,ALAMEDA,Emergency - Basic,190,Open,1946-01-01,Hospital,General Acute Care Hospital,37.83722000,-122.26747000
106010811,FAIRMONT HOSPITAL,140000046,Consolidated Facility,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,01,ALAMEDA,None,159,Open,1953-07-01,Hospital,General Acute Care Hospital,37.70648000,-122.11819000
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,140000004,Consolidated Facility,2001 DWIGHT WAY,BERKELEY,94704,01,ALAMEDA,None,69,Open,1946-01-01,Hospital,General Acute Care Hospital,37.86373000,-122.26984000
106010846,HIGHLAND HOSPITAL,140000046,Parent Facility,1411 EAST 31ST STREET,OAKLAND,94602,01,ALAMEDA,Emergency - Basic,249,Open,1953-07-01,Hospital,General Acute Care Hospital,37.79925000,-122.23138000
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,140000066,Parent Facility,2800 BENEDICT DRIVE,SAN LEANDRO,94577,01,ALAMEDA,None,99,Open,1962-11-13,Hospital,General Acute Care Hospital,37.71621000,-122.13119000
106010937,ALTA BATES SUMMIT MEDICAL CENTER,140000284,Parent Facility,350 HAWTHORNE AVENUE,OAKLAND,94609,01,ALAMEDA,Emergency - Basic,403,Open,1946-01-01,Hospital,General Acute Care Hospital,37.82106000,-122.26257000
106010967,ST. ROSE HOSPITAL,140000107,Parent Facility,27200 CALAROGA AVENUE,HAYWARD,94545,01,ALAMEDA,Emergency - Basic,217,Open,1962-10-10,Hospital,General Acute Care Hospital,37.63291000,-122.08962000
106010983,VALLEY MEMORIAL HOSPITAL,140000114,Consolidated Facility,1111 E. STANLEY BOULEVARD,LIVERMORE,94550,01,ALAMEDA,None,75,Open,1969-10-19,Hospital,General Acute Care Hospital,37.67870000,-121.78252000
106010987,WASHINGTON HOSPITAL - FREMONT,140000116,Parent Facility,2000 MOWRY AVENUE,FREMONT,94538,01,ALAMEDA,Emergency - Basic,341,Open,1958-11-19,Hospital,General Acute Care Hospital,37.55847000,-121.98006000
106013619,SAN LEANDRO HOSPITAL,550002039,Parent Facility,13855 EAST 14TH STREET,SAN LEANDRO,94578,01,ALAMEDA,Emergency - Basic,93,Open,2012-09-01,Hospital,General Acute Care Hospital,37.71364000,-122.14067000
106013626,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,140000284,Consolidated Facility,3100 SUMMIT STREET,OAKLAND,94609,01,ALAMEDA,None,75,Open,1946-01-01,Hospital,General Acute Care Hospital,37.81994000,-122.26430000
106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,140000232,Parent Facility,3012 SUMMIT STREET,OAKLAND,94609,01,ALAMEDA,Not Applicable,24,Open,1983-10-12,Hospital,Chemical Dep. Recovery Hospital,37.81944000,-122.26451000
106014034,FREMONT HOSPITAL,140000347,Parent Facility,39001 SUNDALE DRIVE,FREMONT,94538,01,ALAMEDA,Not Applicable,148,Open,1990-02-16,Hospital,Acute Psychiatric Hospital,37.54652000,-121.97885000
106014050,STANFORD HEALTH CARE - VALLEYCARE,140000114,Parent Facility,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,01,ALAMEDA,Emergency - Basic,167,Open,1991-12-09,Hospital,General Acute Care Hospital,37.69206000,-121.88095000
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,140000053,Parent Facility,39400 PASEO PADRE PARKWAY,FREMONT,94538,01,ALAMEDA,Emergency - Basic,106,Open,1996-12-01,Hospital,General Acute Care Hospital,37.55055000,-121.97483000
106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,M02016036,Parent Facility,2633 EAST 27TH STREET,OAKLAND,94601,01,ALAMEDA,Not Applicable,26,Open,2005-08-16,Hospital,Psychiatric Health Facility,37.79127000,-122.22257000
106014226,TELECARE WILLOW ROCK CENTER,M02016039,Parent Facility,2050 FAIRMONT DRIVE,SAN LEANDRO,94578,01,ALAMEDA,Not Applicable,16,Open,2007-07-02,Hospital,Psychiatric Health Facility,37.71008000,-122.12149000
106014233,EDEN MEDICAL CENTER,140000030,Parent Facility,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,01,ALAMEDA,Emergency - Basic,130,Open,2012-11-01,Hospital,General Acute Care Hospital,37.69837690,-122.08740550
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,140000052,Parent Facility,275 W. MACARTHUR BLVD.,OAKLAND,94611,01,ALAMEDA,Emergency - Basic,315,Open,2014-07-01,Hospital,General Acute Care Hospital,37.82402000,-122.25791000
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,550002678,Parent Facility,2500 MERCED STREET,SAN LEANDRO,94577,01,ALAMEDA,Emergency - Basic,216,Open,2014-06-03,Hospital,General Acute Care Hospital,37.70611000,-122.16917000
106034002,SUTTER AMADOR HOSPITAL,030000008,Parent Facility,200 MISSION BLVD,JACKSON,95642,03,AMADOR,Emergency - Basic,52,Open,2000-04-10,Hospital,General Acute Care Hospital,38.34743000,-120.77272000
106040802,ORCHARD HOSPITAL,230000007,Parent Facility,240 SPRUCE STREET,GRIDLEY,95948,04,BUTTE,Emergency - Standby,106,Open,1949-05-24,Hospital,General Acute Care Hospital,39.36701000,-121.68955000
