,name,license_type,city,county,zip
0,AAA CARE PHARMACY ,License Type: Pharmacy (Community),CANOGA PARK, LOS ANGELES, 91303
1,ABC PHARMACY OF BEVERLY HILLS ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90211
2,ACE MEDICAL PHARMACY ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90210
3,AHF HEALTHCARE CENTER - WESTSIDE ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90211
4,ALAN SCHWAB PHARMACY ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90210
5,ALLENWOOD MEDICAL PHARMACY INC ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90212
6,AMC PHARMACY ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91505
7,APPLE RX PHARMACY ,License Type: Pharmacy (Community),BELLFLOWER, LOS ANGELES, 90706
8,B&B PHARMACY ,License Type: Pharmacy (Community),BELLFLOWER, LOS ANGELES, 90706
9,BELL GARDENS FAMILY PHARMACY ,License Type: Pharmacy (Community),BELL GARDENS, LOS ANGELES, 90201
10,BELL GARDENS PHARMACY ,License Type: Pharmacy (Community),BELL GARDENS, LOS ANGELES, 90201
11,BELLWOOD MEDICAL CENTER PHARMACY ,License Type: Pharmacy (Community),BELLFLOWER, LOS ANGELES, 90706
12,BETTERX PHARMACY ,License Type: Pharmacy (Community),CERRITOS, LOS ANGELES, 90703
13,BEVERLY HILLS APOTHECARY ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90210
14,BEVERLY HILLS CONCIERGE PHARMACY ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90210
15,BEVERLY HILLS MEDICAL PLAZA PHARMACY ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90211
16,BEVERLY SINAI MEDICAL PHARMACY ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91504
17,BIOLOGICTX ,License Type: Pharmacy (Community),CANOGA PARK, LOS ANGELES, 91304
18,BIOSCRIP INFUSION SERVICES ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91502
19,"BRIOVARX INFUSION SERVICES 402, LLC ",License Type: Pharmacy (Community),CERRITOS, LOS ANGELES, 90703
20,BURBANK COMPOUNDING PHARMACY ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91505
21,BURBANK MEDICAL PHARMACY ,License Type: Pharmacy (Community),Probation Terminated/Completed, LOS ANGELES, 91505
22,BURBANK TOWER PHARMACY ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91502
23,BURBANK VILLAGE PHARMACY ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91502
24,CALABASAS PHARMACY AND HEALTHCARE CENTER ,License Type: Pharmacy (Community),CALABASAS, LOS ANGELES, 91302
25,CAMDEN PHARMACY & GIFT EMPORIUM ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90210
26,CANOGA PARK PHARMACY ,License Type: Pharmacy (Community),Accusation filed, LOS ANGELES, 91303
27,CARRIE'S PHARMACY ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91502
28,CARSON DISCOUNT PHARMACY ,License Type: Pharmacy (Community),CARSON, LOS ANGELES, 90745
29,CARSON WELLNESS PHARMACY INC ,License Type: Pharmacy (Community),CARSON, LOS ANGELES, 90745
30,CERRITOS MEDICAL PHARMACY ,License Type: Pharmacy (Community),CERRITOS, LOS ANGELES, 90703
31,COSTCO PHARMACY #677 ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91506
32,CREATIVE RX ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91505
33,CROWN DRUGS ,License Type: Pharmacy (Community),CARSON, LOS ANGELES, 90746
34,CVS PHARMACY #8839 ,License Type: Pharmacy (Community),CARSON, LOS ANGELES, 90745
35,CVS PHARMACY #9489 ,License Type: Pharmacy (Community),CERRITOS, LOS ANGELES, 90703
36,CVS PHARMACY #9601 ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91504
37,CVS PHARMACY #9602 ,License Type: Pharmacy (Community),CANOGA PARK, LOS ANGELES, 91303
38,CVS PHARMACY #9611 ,License Type: Pharmacy (Community),CANYON COUNTRY, LOS ANGELES, 91351
39,CVS PHARMACY #9658 ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91502
40,CVS PHARMACY #9692 ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91506
41,CVS PHARMACY #9734 ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91505
42,CVS PHARMACY #9767 ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90211
43,CVS PHARMACY #9795 ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91505
44,CVS PHARMACY NO 5012 ,License Type: Pharmacy (Community),CARSON, LOS ANGELES, 90745
45,CVS/PHARMACY # 16092 ,License Type: Pharmacy (Community),Probation Terminated/Completed, LOS ANGELES, 90703
46,CVS/PHARMACY # 16648 ,License Type: Pharmacy (Community),CERRITOS, LOS ANGELES, 90703
47,CVS/PHARMACY # 16701 ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91504
48,CVS/PHARMACY # 17119 ,License Type: Pharmacy (Community),CARSON, LOS ANGELES, 90746
49,CVS/PHARMACY # 17226 ,License Type: Pharmacy (Community),CANOGA PARK, LOS ANGELES, 91303
50,CVS/PHARMACY # 17394 ,License Type: Pharmacy (Community),CARSON, LOS ANGELES, 90745
51,DANA DRUGS ,License Type: Pharmacy (Community),Probation Terminated/Completed, LOS ANGELES, 91505
52,DE LA STAR PHARMACY ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91506
53,DR PHARMACY RX ,License Type: Pharmacy (Community),CALABASAS, LOS ANGELES, 91302
54,ENCORE PHARMACY ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90210
55,FAMILY PHY SVCS OF BEVERLY HILLS ,License Type: Pharmacy (Community),Probation Terminated/Completed, LOS ANGELES, 90211
56,GARFIELD BEACH CVS LLC D/B/A CVS/PHARMACY # 17721 ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91505
57,GARFIELD PRESCRIPTION PHARMACY ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90210
58,GLENOAKS RX PHARMACY ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91502
59,GOLDEN STATE SPECIALTY PHARMACY INC ,License Type: Pharmacy (Community),BURBANK, LOS ANGELES, 91502
60,HEALTH WAY PHARMACY ,License Type: Pharmacy (Community),CANOGA PARK, LOS ANGELES, 91303
61,HEPPS PRESCRIPTION PHARMACY ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90211
62,HERBERT'S PHARMACY ,License Type: Pharmacy (Community),BEVERLY HILLS, LOS ANGELES, 90211
