,name,license_type,city,county,zip
0,ALLCARE PHARMACY ,License Type: Pharmacy (Community),EL MONTE, LOS ANGELES, 91731
1,ALTO PHARMACY ,License Type: Pharmacy (Community),CULVER CITY, LOS ANGELES, 90230
2,APHA DRUGSTORE ,License Type: Pharmacy (Community),CLAREMONT, LOS ANGELES, 91711
3,BECKMAN RESEARCH INSTITUTE OF THE CITY OF HOPE ,License Type: Pharmacy (Community),DUARTE, LOS ANGELES, 91010
4,BONNIE COVE PHARMACY ,License Type: Pharmacy (Community),COVINA, LOS ANGELES, 91724
5,BRANDMD ,License Type: Pharmacy (Community),Accusation filed, LOS ANGELES, 91311
6,BROTMAN MEDICAL PHARMACY ,License Type: Pharmacy (Community),CULVER CITY, LOS ANGELES, 90232
7,CALIX DRUGS PHARMACY INC ,License Type: Pharmacy (Community),COVINA, LOS ANGELES, 91724
8,CARE-A-LOT PHARMACY ,License Type: Pharmacy (Community),CHATSWORTH, LOS ANGELES, 91311
9,CITRUS VALLEY PHARMACY ,License Type: Pharmacy (Community),COVINA, LOS ANGELES, 91723
10,CLAREMONT PHARMACY ,License Type: Pharmacy (Community),CLAREMONT, LOS ANGELES, 91711
11,CNC AURORA PHARMACY ,License Type: Pharmacy (Community),EL MONTE, LOS ANGELES, 91731
12,CNC ROSE PHARMACY ,License Type: Pharmacy (Community),COVINA, LOS ANGELES, 91723
13,COMMUNITY MEDICAL PHARMACY ,License Type: Pharmacy (Community),COVINA, LOS ANGELES, 91723
14,COMMUNITY PHARMACY ,License Type: Pharmacy (Community),DOWNEY, LOS ANGELES, 90241
15,COMPLETE CARE COMPOUNDING PHARMACY ,License Type: Pharmacy (Community),DIAMOND BAR, LOS ANGELES, 91765
16,COMPTON COMMUNITY PHARMACY ,License Type: Pharmacy (Community),COMPTON, LOS ANGELES, 90220
17,CONCIERGE RX ,License Type: Pharmacy (Community),CHATSWORTH, LOS ANGELES, 91311
18,CONCOURSE RX ,License Type: Pharmacy (Community),CITY OF INDUSTRY, LOS ANGELES, 91748
19,COSTCO PHARMACY NO 679 ,License Type: Pharmacy (Community),CITY OF INDUSTRY, LOS ANGELES, 91748
20,COVINA PHARMACY ,License Type: Pharmacy (Community),Probation Terminated/Completed, LOS ANGELES, 91723
21,"CRESCENT DRUGS, INC ",License Type: Pharmacy (Community),CULVER CITY, LOS ANGELES, 90232
22,CROWN CARE PHARMACY ,License Type: Pharmacy (Community),EL MONTE, LOS ANGELES, 91733
23,CVS PHARMACY #5834 ,License Type: Pharmacy (Community),EL MONTE, LOS ANGELES, 91732
24,CVS PHARMACY #8867 ,License Type: Pharmacy (Community),DOWNEY, LOS ANGELES, 90240
25,CVS PHARMACY #9495 ,License Type: Pharmacy (Community),COMPTON, LOS ANGELES, 90220
26,CVS PHARMACY #9504 ,License Type: Pharmacy (Community),DOWNEY, LOS ANGELES, 90241
27,CVS PHARMACY #9573 ,License Type: Pharmacy (Community),CULVER CITY, LOS ANGELES, 90230
