,name,license_type,city,county,zip
0,10TH AVENUE PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90008
1,2010 PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90057
2,6122 PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90022
3,A & G PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90004
4,A A PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90012
5,AALPHA PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90057
6,ACCESS MEDICAL PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90024
7,AHF PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90022
8,AHF PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90028
9,AIDS HEALTHCARE FOUNDATION ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90027
10,AIDS HEALTHCARE FOUNDATION ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90015
11,ALEXANDER PHARMACY # 1 ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90029
12,ALLURE PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90049
13,ALTAMED PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90023
14,ALTAMED PHARMACY 3 ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90022
15,ALVARADO DRUGS ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90057
16,AMERICAN HEALTH SOLUTIONS PHARMACY INC ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90034
17,APOTHECARY PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90064
18,ARDMORE PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90010
19,ATLANTIC PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90022
20,B & G PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90027
21,BARGAIN OAKHURST PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90035
22,BARRINGTON-WILSHIRE PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90025
23,BEVERLY GLEN PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90077
24,BEVERLY PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90057
25,BEVERLY PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90048
26,BEYOND THE PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90026
27,BIG-1 PHARMACY LA ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90012
28,BIOMED PHARMACY SOLUTIONS ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90048
29,BOTICA DEL PUEBLO ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90057
30,BOTICA DEL SOL ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90033
31,BOTICA SAN JOSE ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90027
32,BOYLE HEIGHTS MEDICAL PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90033
33,BRAVO PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90001
34,BRENT-AIR PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90049
35,BRENTWOOD PLAZA PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90049
36,BRUIN HEALTH PHARMACY ,License Type: Pharmacy (Government Owned Community),LOS ANGELES, LOS ANGELES, 90095
37,CAL MED PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90015
38,"CALIFORNIA ASSISTED PHARMACY, INC. ",License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90011
39,CALIFORNIA MEDICAL PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90026
40,CAMPUS PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90024
41,CANAAN BOKJEE PHARMACEUTICAL CARE ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90019
42,CARE PHARMACY INC ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90015
43,CAREMAX PHARMACY ,License Type: Pharmacy (Community),LOS ANGELES, LOS ANGELES, 90004
