,name,license_type,county,city,zip
0,986 PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
1,A&G PHARMACY INC ,License Type: Pharmacy (Community),NORTH HILLS, LOS ANGELES, 91343
2,ALPHA MEDICAL PHARMACY III ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
3,BEVERLY PLAZA PHARMACY ,License Type: Pharmacy (Community),MONTEBELLO, LOS ANGELES, 90640
4,BEVERLY PROFESSIONAL PHCY ,License Type: Pharmacy (Community),MONTEBELLO, LOS ANGELES, 90640
5,CEDRA PHARMACY ,License Type: Pharmacy (Community),MONTEBELLO, LOS ANGELES, 90640
6,COSTCO PHARMACY #1318 ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91755
7,CVS PHARMACY #9617 ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
8,CVS PHARMACY #9647 ,License Type: Pharmacy (Community),MONTROSE, LOS ANGELES, 91020
9,CVS PHARMACY #9689 ,License Type: Pharmacy (Community),MONROVIA, LOS ANGELES, 91016
10,CVS PHARMACY #9757 ,License Type: Pharmacy (Community),MONTEBELLO, LOS ANGELES, 90640
11,CVS PHARMACY #9789 ,License Type: Pharmacy (Community),MISSION HILLS, LOS ANGELES, 91345
12,CVS PHARMACY #9798 ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
13,CVS PHARMACY #9857 ,License Type: Pharmacy (Community),MONTEBELLO, LOS ANGELES, 90640
14,GARFIELD BEACH CVS LLC D/B/A CVS/PHARMACY #17700 ,License Type: Pharmacy (Community),MISSION HILLS, LOS ANGELES, 91345
15,GARFIELD MEDICAL SQUARE PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
16,GRACE CARE PHARMACY ,License Type: Pharmacy (Community),MONTEBELLO, LOS ANGELES, 90640
17,HEALTH CARE MEDICAL PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
18,HEALTH CARE PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
19,HENRY'S PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
20,HOLY CROSS PHARMACY ,License Type: Pharmacy (Community),MISSION HILLS, LOS ANGELES, 91345
21,HYGEIA LTC PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
22,KAISER PERMANENTE PHARMACY #269 ,License Type: Pharmacy (Community),MISSION HILLS, LOS ANGELES, 91345
23,KAISER PERMANENTE PHARMACY 022 ,License Type: Pharmacy (Community),MONTEBELLO, LOS ANGELES, 90640
24,KANG KANG PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
25,LYONS PHARMACY & COMPOUNDING LAB ,License Type: Pharmacy (Community),NEWHALL, LOS ANGELES, 91321
26,MISSION CITY COMMUNITY NETWORK INC - COMMUNITY PHARMACY ,License Type: Pharmacy (Community),NORTH HILLS, LOS ANGELES, 91343
27,MISSION CITY COMMUNITY NETWORK INC-SEPULVEDA COMMUNITY PHARMACY ,License Type: Pharmacy (Community),NORTH HILLS, LOS ANGELES, 91343
28,MISSION HILLS PHARMACY ,License Type: Pharmacy (Community),MISSION HILLS, LOS ANGELES, 91345
29,MONROVIA PHARMACY ,License Type: Pharmacy (Community),MONROVIA, LOS ANGELES, 91016
30,MONTEBELLO PHARMACY ,License Type: Pharmacy (Community),MONTEBELLO, LOS ANGELES, 90640
31,MONTEBELLO PROFESSIONAL PHARMACY ,License Type: Pharmacy (Community),MONTEBELLO, LOS ANGELES, 90640
32,MONTEREY PARK PROFESSIONAL PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
33,NEWHALL PHARMACY ,License Type: Pharmacy (Community),Accusation filed, LOS ANGELES, 91321
34,PARTNER HEALTHCARE INC ,License Type: Pharmacy (Community),Accusation filed, LOS ANGELES, 91016
35,PLAZA WEST PHARMACY ,License Type: Pharmacy (Community),NORTH HILLS, LOS ANGELES, 91343
36,PROVIDENCE HEALTH SYSTEM SOUTHERN CALIFORNIA DBA PROVIDENCE HOLY ,License Type: Pharmacy (Community),MISSION HILLS, LOS ANGELES, 91345
37,RAMONA PROFESSIONAL PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
38,RELIANCE PHARMACY ,License Type: Pharmacy (Community),MISSION HILLS, LOS ANGELES, 91345
39,RITE AID 5479 ,License Type: Pharmacy (Community),MAYWOOD, LOS ANGELES, 90270
40,RITE AID 5504 ,License Type: Pharmacy (Community),MONTEBELLO, LOS ANGELES, 90640
41,RITE AID 5554 ,License Type: Pharmacy (Community),MISSION HILLS, LOS ANGELES, 91345
42,RITE AID 5597 ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
43,RX UNLIMITED PHARMACY ,License Type: Pharmacy (Community),Accusation filed, LOS ANGELES, 91343
44,SUN SUN PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
45,SUN YUAN PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
46,TAMMYS PHARMACY ,License Type: Pharmacy (Community),MONTEREY PARK, LOS ANGELES, 91754
47,THE MEDICINE CABINET #6 ,License Type: Pharmacy (Community),MAYWOOD, LOS ANGELES, 90270
48,THE PRESCRIPTION SHOP ,License Type: Pharmacy (Community),MONTEBELLO, LOS ANGELES, 90640
49,UNI-MED PHARMACY ,License Type: Pharmacy (Community),MONTROSE, LOS ANGELES, 91020
50,VALENCIA PHARMACY ,License Type: Pharmacy (Community),NEWHALL, LOS ANGELES, 91321
