,name,license_type,county,city,zip
0,2010 PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
1,A PLUS PHARMACY ,License Type: Pharmacy (Community),BUENA PARK, ORANGE, 90620
2,A1CARE PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92705
3,AAA COMMUNITY PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
4,ABC PHARMACY ,License Type: Pharmacy (Community),LAGUNA HILLS, ORANGE, 92653
5,ACACIA PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92840
6,ACARE PHARMACY ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92804
7,ACTIVE CARE PHARMACY ,License Type: Pharmacy (Community),FOUNTAIN VALLEY, ORANGE, 92708
8,ADVANCED HEALTHCARE PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
9,ADVANCED PHARMACY SOLUTIONS ,License Type: Pharmacy (Community),LAGUNA HILLS, ORANGE, 92653
10,AHCS SPECIALTY CARE ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92845
11,ALLCARE PHARMACY #3 ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92701
12,ALLIANCE PHARMACY INC ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92802
13,ALOHA PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
14,ALPHA DRUGS ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92804
15,ALPHA PHARMACY ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92804
16,ALTAMED PHARMACY 4 ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92840
17,ALTAMED PHARMACY 5 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92801
18,ALTO PHARMACY ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92618
19,AMERIPHARMA ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92868
20,AMERIPHARMA SPECIALTY CARE ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92868
21,AN PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
22,ANA PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
23,ANAHEIM HILLS MEDICAL PHARMACY ,License Type: Pharmacy (Community),ANAHEIM HILLS, ORANGE, 92807
24,ANAHEIM PHARMACY ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92805
25,ANAHEIM PRO-CARE PHARMACY ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92801
26,ANH-NHI PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
27,AP8 PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92704
28,APOTHERA ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92618
29,APPLE PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92840
30,APPLE PHARMACY III ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92804
31,ARC CARES PHARMACY ,License Type: Pharmacy (Community),BREA, ORANGE, 92821
32,AUDREY PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
