,name,license_type,county,city,zip
0,986 PHARMACY ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
1,ADVANCE MEDICAL RX INC ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
2,AP 6 PHARMACY ,License Type: Pharmacy (Community),PICO RIVERA, LOS ANGELES, 90660
3,ARTESIA MEDICAL PHARMACY ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91767
4,BONITA FAMILY PHARMACY ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91767
5,BUI'S DEL MAR PHARMACY INC ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
6,CA ST POLYTECH U STUDENT HLTH CTR PHY ,License Type: Pharmacy (Government Owned Community),POMONA, LOS ANGELES, 91768
7,CALIFORNIA PHARMACY ,License Type: Pharmacy (Community),ROWLAND HEIGHTS, LOS ANGELES, 91748
8,CAREQUEST PHARMACY ,License Type: Pharmacy (Community),Probation Terminated/Completed, LOS ANGELES, 91335
9,CBC CONVALESCENT CARE PHARMACY ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91766
10,CBC MISSION PHARMACY ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91766
11,"CHEMIQUE PHARMACEUTICALS, INC. ",License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91768
12,COSLO PHARMACY ,License Type: Pharmacy (Community),PICO RIVERA, LOS ANGELES, 90660
13,CURERX ,License Type: Pharmacy (Community),RESEDA, LOS ANGELES, 91335
14,CVS PHARMACY #6705 ,License Type: Pharmacy (Community),REDONDO BEACH, LOS ANGELES, 90277
15,CVS PHARMACY #8781 ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91766
16,CVS PHARMACY #8895 ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91767
17,CVS PHARMACY #9615 ,License Type: Pharmacy (Community),RESEDA, LOS ANGELES, 91335
18,CVS PHARMACY #9621 ,License Type: Pharmacy (Community),RESEDA, LOS ANGELES, 91335
19,CVS PHARMACY #9645 ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
20,CVS PHARMACY #9708 ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91768
21,CVS PHARMACY #9769 ,License Type: Pharmacy (Community),PICO RIVERA, LOS ANGELES, 90660
22,CVS PHARMACY #9771 ,License Type: Pharmacy (Community),PICO RIVERA, LOS ANGELES, 90660
23,CVS PHARMACY NO 5022 ,License Type: Pharmacy (Community),RESEDA, LOS ANGELES, 91335
24,CVS/PHARMACY # 16750 ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
25,CVS/PHARMACY # 16762 ,License Type: Pharmacy (Community),PICO RIVERA, LOS ANGELES, 90660
26,CVS/PHARMACY # 17096 ,License Type: Pharmacy (Community),REDONDO BEACH, LOS ANGELES, 90278
27,CVS/PHARMACY # 17659 ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91766
28,CVS/PHARMACY #09533 ,License Type: Pharmacy (Community),PORTER RANCH, LOS ANGELES, 91326
29,CVS/PHARMACY #09544 ,License Type: Pharmacy (Community),REDONDO BEACH, LOS ANGELES, 90277
30,DDE PHARMACY ,License Type: Pharmacy (Community),ROWLAND HEIGHTS, LOS ANGELES, 91748
31,DONG TAM PHARMACY ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
32,DR IKE'S PHARMACY #1 ,License Type: Pharmacy (Community),RESEDA, LOS ANGELES, 91335
33,EAST VALLEY PMQ PHARMACY 1 ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91766
34,EASTLAND PHARMACY ,License Type: Pharmacy (Community),ROWLAND HEIGHTS, LOS ANGELES, 91748
35,EXPRESS PHARMACY INC ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91767
36,EZRX PHARMACY ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91767
37,GARVEY PHARMACY ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
38,GOLDEN COVE PHARMACY AND HOME HEALTHCARE ,License Type: Pharmacy (Community),RANCHO PALOS VERDES, LOS ANGELES, 90275
39,HAPPY PHARMACY ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
40,HEALTH SOURCE PHARMACY ,License Type: Pharmacy (Community),RESEDA, LOS ANGELES, 91335
41,HOLT PHARMACY ,License Type: Pharmacy (Community),Probation Terminated/Completed, LOS ANGELES, 91767
42,KOVACS-FREY PHARMACY ,License Type: Pharmacy (Community),REDONDO BEACH, LOS ANGELES, 90278
43,LA PHARMACY ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
44,MANNING MEDICAL PHARMACY ,License Type: Pharmacy (Community),ROWLAND HEIGHTS, LOS ANGELES, 91748
45,NEW LIFE PHARMACY ,License Type: Pharmacy (Community),ROWLAND HEIGHTS, LOS ANGELES, 91748
46,NOGALES PHARMACY INC ,License Type: Pharmacy (Community),ROWLAND HEIGHTS, LOS ANGELES, 91748
47,ORANGE GROVE PHARMACY ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91767
48,OWL DRUG ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91768
49,PAYLESS PHARMACY ,License Type: Pharmacy (Community),Probation, LOS ANGELES, 91770
50,PAYLESS PHARMACY III ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
51,PHILLIPS RANCH PHARMACY ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91766
52,PHILLIPS RANCH PHARMACY ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91766
53,PICO CARE PHARMACY ,License Type: Pharmacy (Community),PICO RIVERA, LOS ANGELES, 90660
54,PILL BOX DRUG ,License Type: Pharmacy (Community),REDONDO BEACH, LOS ANGELES, 90277
55,PLAYA PHARMACY ,License Type: Pharmacy (Community),PLAYA DEL REY, LOS ANGELES, 90293
56,PORTER RANCH PHARMACY ,License Type: Pharmacy (Community),PORTER RANCH, LOS ANGELES, 91326
57,PRIME FORMULA PHARMACY ,License Type: Pharmacy (Community),ROWLAND HEIGHTS, LOS ANGELES, 91748
58,RALPHS PHARMACY 70300120 ,License Type: Pharmacy (Community),REDONDO BEACH, LOS ANGELES, 90278
59,RALPHS PHARMACY 70300720 ,License Type: Pharmacy (Community),Probation Terminated/Completed, LOS ANGELES, 90275
60,RESEDA PHARMACY INC ,License Type: Pharmacy (Community),RESEDA, LOS ANGELES, 91335
61,RITE AID #6495 ,License Type: Pharmacy (Community),PICO RIVERA, LOS ANGELES, 90660
62,RITE AID 5481 ,License Type: Pharmacy (Community),REDONDO BEACH, LOS ANGELES, 90277
63,RITE AID 5482 ,License Type: Pharmacy (Community),REDONDO BEACH, LOS ANGELES, 90278
64,RITE AID 5591 ,License Type: Pharmacy (Community),ROWLAND HEIGHTS, LOS ANGELES, 91748
65,RITE AID NO 5604 ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91767
66,RITE AID NO 5606 ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
67,RITE AID NO 6338 ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91766
68,RIVERA PHARMACY ,License Type: Pharmacy (Community),PICO RIVERA, LOS ANGELES, 90660
69,ROBERT PHARMACY ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
70,ROSA II PHARMACY ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
71,ROSA PHARMACY ,License Type: Pharmacy (Community),ROSEMEAD, LOS ANGELES, 91770
72,ROYALTY PHARMACY ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91767
73,SAN ANTONIO PHARMACY ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91769
74,SANTA MARIA PHARMACY ,License Type: Pharmacy (Community),POMONA, LOS ANGELES, 91766
75,SAV-ON PHARMACY #2305 ,License Type: Pharmacy (Community),RESEDA, LOS ANGELES, 91335
76,SOUTH BAY PHARMACY ,License Type: Pharmacy (Community),REDONDO BEACH, LOS ANGELES, 90277
77,ST PAULS PHARMACY 2 ,License Type: Pharmacy (Community),PICO RIVERA, LOS ANGELES, 90660
78,SUNNY BAY PHARMACY ,License Type: Pharmacy (Community),REDONDO BEACH, LOS ANGELES, 90277
79,URS PHARMACY ,License Type: Pharmacy (Community),ROWLAND HEIGHTS, LOS ANGELES, 91748
