,name,license_type,county,city,zip
0,ABC PHARMACY ,License Type: Pharmacy (Community),RIVERSIDE, RIVERSIDE, 92507
1,ACARIAHEALTH PHARMACY #14 INC ,License Type: Pharmacy (Community),SACRAMENTO, SACRAMENTO, 95834
2,ACCESS MYRX PHARMACY LLC ,License Type: Pharmacy (Community),ELK GROVE, SACRAMENTO, 95624
3,ACCREDO HEALTH GROUP INC ,License Type: Pharmacy (Community),CORONA, RIVERSIDE, 92880
4,ADVANCED CARE PHARMACY ,License Type: Pharmacy (Community),CORONA, RIVERSIDE, 92880
5,ADVANTAGE PHARMACEUTICALS INC ,License Type: Pharmacy (Community),ROCKLIN, PLACER, 95677
6,AIDS FOR DAILY LIVING INC ,License Type: Pharmacy (Community),ROCKLIN, PLACER, 95765
7,AMBROSIA HEALTHCARE INC ,License Type: Pharmacy (Community),PALM DESERT, RIVERSIDE, 92211
8,AMBULATORY CARE CENTER PHARMACY ,License Type: Pharmacy (Government Owned Community),SACRAMENTO, SACRAMENTO, 95817
9,ANDERSON BROS FLORIN SQUARE PHARMACY ,License Type: Pharmacy (Community),SACRAMENTO, SACRAMENTO, 95822
10,ANDERSON BROS TOWN & COUNTRY PHARMACY INC ,License Type: Pharmacy (Community),Probation, SACRAMENTO, 95821
11,"ANTELOPE PHARMACY, INC ",License Type: Pharmacy (Community),ANTELOPE, SACRAMENTO, 95843
12,ANZA VALLEY PHARMACY ,License Type: Pharmacy (Community),ANZA, RIVERSIDE, 92539
13,AQUA PHARMACY INC ,License Type: Pharmacy (Community),RIVERSIDE, RIVERSIDE, 92501
14,ARCHANGEL MICHAEL PHARMACY ,License Type: Pharmacy (Community),TEMECULA, RIVERSIDE, 92592
15,ARLINGTON MEDICA PHARMACY ,License Type: Pharmacy (Community),RIVERSIDE, RIVERSIDE, 92503
16,ARLINGTON PRESCRIPTION PHARMACY ,License Type: Pharmacy (Community),RIVERSIDE, RIVERSIDE, 92503
17,AUSTIN'S PHARMACY ,License Type: Pharmacy (Community),BLYTHE, RIVERSIDE, 92225
18,AVELLA OF SACRAMENTO INC ,License Type: Pharmacy (Community),SACRAMENTO, SACRAMENTO, 95821
19,BANDYS PHARMACY ,License Type: Pharmacy (Community),BLYTHE, RIVERSIDE, 92225
20,BEAR CREEK PHARMACY ,License Type: Pharmacy (Community),WILDOMAR, RIVERSIDE, 92595
21,BEL AIR PHARMACY #502 ,License Type: Pharmacy (Community),SACRAMENTO, SACRAMENTO, 95864
22,BEL AIR PHARMACY #509 ,License Type: Pharmacy (Community),ROSEVILLE, PLACER, 95661
