,name,license_type,city,county,zip
0,986 PHARMACY ,License Type: Pharmacy (Community),TEMPLE CITY, LOS ANGELES, 91780
1,986 PHARMACY #8006 ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91401
2,ALLIED HEALTH PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91411
3,BELLA VIDA PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90502
4,BEST CHOICE PHARMACY & MEDICAL SUPPLIES ,License Type: Pharmacy (Community),TUJUNGA, LOS ANGELES, 91042
5,BIONIX PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
6,"CARDINAL HEALTH 414,LLC ",License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
7,"CARDINAL HEALTH 414,LLC ",License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90504
8,CARING PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91401
9,CARSON PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90502
10,CHOICE COMPOUNDING PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90503
11,CHOICE SPECIALTY PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90503
12,COMMUNITY A WALGREENS PHARMACY #16561 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90502
13,CONCIERGE PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
14,COSTCO PHARMACY #1202 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
15,COSTCO PHARMACY #48 ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91411
16,COWDREY'S PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
17,CVS PHARMACY #8852 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
18,CVS PHARMACY #8868 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90503
19,CVS PHARMACY #9475 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90504
20,CVS PHARMACY #9478 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
21,CVS PHARMACY #9568 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90503
22,CVS PHARMACY #9630 ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91411
23,CVS PHARMACY #9716 ,License Type: Pharmacy (Community),TEMPLE CITY, LOS ANGELES, 91780
24,CVS PHARMACY #9786 ,License Type: Pharmacy (Community),TUJUNGA, LOS ANGELES, 91042
25,CVS PHARMACY NO 4792 ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
26,CVS PHARMACY NO 5170 ,License Type: Pharmacy (Community),Public Reprimand, LOS ANGELES, 91780
27,CVS/PHARMACY # 10022 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90501
28,CVS/PHARMACY # 16050 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
29,CVS/PHARMACY # 16075 ,License Type: Pharmacy (Community),VALENCIA, LOS ANGELES, 91355
30,CVS/PHARMACY # 16650 ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91411
31,CVS/PHARMACY # 16652 ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
32,DIPLOMAT SPECIALTY PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
33,FIVE STAR PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
34,FOOTHILL PHARMACY ,License Type: Pharmacy (Community),TUJUNGA, LOS ANGELES, 91042
35,FOOTHILL REMEDY DRUGS ,License Type: Pharmacy (Community),TUJUNGA, LOS ANGELES, 91042
36,FOX DRUGS ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90501
37,GE HEALTHCARE ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
38,GRACE PHARMACY ,License Type: Pharmacy (Community),TUJUNGA, LOS ANGELES, 91042
39,GREEN PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90503
40,H K VALLEY PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
41,HEALTHY WAY PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
42,HOSPICARE PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
43,"HYE PHARMACY, INC. ",License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91401
44,KAISER PERMANENTE PHARMACY #117 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90503
45,KEY PHARMACY ,License Type: Pharmacy (Community),VALLEY VILLAGE, LOS ANGELES, 91607
46,KOVAC'S CARE PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91401
47,KROGER SPECIALTY INFUSION CA ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90501
48,LIBERTY PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
49,LOMITA CARE PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
50,LOS ANGELES BIOMEDICAL RESEARCH INSTITUTE ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90502
51,LOS ANGELES CO HARBOR UCLA N 22 PHY ,License Type: Pharmacy (Government Owned Community),TORRANCE, LOS ANGELES, 90502
52,LOS ANGELES COUNTY MID-VALLEY COMPREHENSIVE HEALTH CENTER ,License Type: Pharmacy (Government Owned Community),VAN NUYS, LOS ANGELES, 91405
53,MED CENTER PHARMACY INC ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
54,MEDICAL ARTS PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90503
55,MEDICINE LAND PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
56,MEDICORX SPECIALTY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
57,MESA PHARMACY IV ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
58,MIRACLE PHARMACY ,License Type: Pharmacy (Community),TUJUNGA, LOS ANGELES, 91042
59,NUBRATORI RX ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90501
60,OUTPATIENT PHY HARBOR UCLA MED CTR ,License Type: Pharmacy (Government Owned Community),TORRANCE, LOS ANGELES, 90502
61,PACIFICA PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
62,PHARMACY FOR LESS INC ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
63,PHARMCO ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90501
64,PLAZA PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
65,PREMIER CARE PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91401
66,PREMIER FAMILY PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90503
67,PREMIER INFUSION CARE ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90502
68,RALPHS PHARMACY 70300088 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
69,RALPHS PHARMACY 70300110 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
70,RALPHS PHARMACY 70300132 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90501
71,RALPHS PHARMACY 70300147 ,License Type: Pharmacy (Community),VALENCIA, LOS ANGELES, 91354
72,RITE AID 5491 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90501
73,RITE AID 5492 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90502
74,RITE AID 5567 ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
75,RITE AID 5568 ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
76,RITE AID 5609 ,License Type: Pharmacy (Community),TEMPLE CITY, LOS ANGELES, 91780
77,RITE AID NO 6235 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
78,RITE AID NO 6263 ,License Type: Pharmacy (Community),VALENCIA, LOS ANGELES, 91354
79,SAM'S PHARMACY NO 10-6628 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
80,SANTA CLARITA VALLEY HEALTH CARE PHARMACY ,License Type: Pharmacy (Community),VALENCIA, LOS ANGELES, 91355
81,SAV-ON PHARMACY #3175 ,License Type: Pharmacy (Community),TUJUNGA, LOS ANGELES, 91042
82,SAV-ON PHARMACY #3301 ,License Type: Pharmacy (Community),VALENCIA, LOS ANGELES, 91354
83,SERVAC PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90504
84,SHERMAN WAY PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
85,SHIELD CALIFORNIA HEALTH CARE CENTER INC ,License Type: Pharmacy (Community),VALENCIA, LOS ANGELES, 91355
86,STAR PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
87,STATE PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
88,SUNNY BAY PHARMACY #2 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90503
89,SUPER DISCOUNT PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91411
90,SUPER-RITE DRUGS ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91401
91,THE DRUGGIST INC ,License Type: Pharmacy (Community),Accusation filed, LOS ANGELES, 91355
92,THE REMEDY PHARM ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
93,TORMED PHARMACY INC ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
94,TORRANCE MEMORIAL MEDICAL CENTER PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
95,TORRANCE PHARMACY & COMPOUNDING CENTER ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
96,TUJUNGA PHARMACY ,License Type: Pharmacy (Community),TUJUNGA, LOS ANGELES, 91042
97,ULTIMATE PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91406
98,VALENCIA TOWN CENTER PHARMACY ,License Type: Pharmacy (Community),VALENCIA, LOS ANGELES, 91355
99,VALLEY RX PHARMACY ,License Type: Pharmacy (Community),TEMPLE CITY, LOS ANGELES, 91780
100,VM PHARMACY ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
101,VONS PHARMACY #2030 ,License Type: Pharmacy (Community),VALENCIA, LOS ANGELES, 91355
102,VONS PHARMACY #2124 ,License Type: Pharmacy (Community),TUJUNGA, LOS ANGELES, 91042
103,VONS PHARMACY #3517 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
104,WAL-MART PHARMACY #10-5072 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90501
105,WAL-MART PHARMACY 10-2226 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90503
106,WAL-MART PHARMACY 10-5874 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90503
107,WALGREENS #02622 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
108,WALGREENS #05525 ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
109,WALGREENS #05772 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
110,WALGREENS #06251 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90505
111,WALGREENS #06700 ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91401
112,WALGREENS #07481 ,License Type: Pharmacy (Community),TORRANCE, LOS ANGELES, 90501
113,WALGREENS #07826 ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91401
114,YM DRUGS ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91401
115,YOUNG'S PHARMACY ,License Type: Pharmacy (Community),VAN NUYS, LOS ANGELES, 91405
