zip,population
90650,"106,360"
90011,"104,762"
90201,"102,786"
91331,"101,536"
92335,"99,079"
90250,"96,987"
90805,"95,808"
91342,"95,222"
90280,"95,219"
92503,"94,029"
92336,"92,306"
92683,"91,613"
94565,"91,323"
90044,"90,155"
92704,"89,993"
92154,"88,016"
91710,"87,071"
91744,"86,638"
92804,"86,220"
92376,"85,857"
95076,"85,678"
93307,"84,667"
91911,"84,241"
94112,"84,001"
93033,"83,103"
93722,"81,832"
92345,"81,094"
92126,"80,685"
92509,"80,480"
91335,"80,161"
92592,"80,135"
93727,"79,314"
94544,"78,096"
90706,"77,687"
91706,"77,667"
91709,"77,266"
95823,"76,478"
91910,"76,027"
90255,"75,770"
93257,"75,715"
93550,"75,624"
92553,"74,925"
95630,"74,905"
93535,"73,948"
95035,"73,652"
94110,"73,511"
94587,"73,500"
92805,"73,043"
92105,"72,724"
94536,"72,597"
94533,"72,349"
93274,"72,264"
93065,"72,211"
91766,"72,100"
91402,"71,765"
92703,"71,245"
90262,"71,197"
92882,"71,024"
93536,"70,969"
90003,"70,208"
92114,"69,688"
93306,"69,660"
92021,"69,552"
90631,"68,971"
91730,"68,807"
90019,"68,530"
94558,"68,366"
90026,"67,557"
90022,"67,191"
94080,"66,876"
92801,"66,657"
92880,"66,557"
95123,"66,500"
94538,"66,493"
95687,"66,476"
95127,"66,282"
93230,"66,109"
92677,"65,645"
94541,"65,178"
95206,"65,151"
94015,"64,712"
92201,"64,436"
95624,"64,429"
94509,"64,412"
92115,"64,410"
91343,"64,323"
95111,"64,247"
92407,"64,225"
92562,"64,222"
93906,"63,821"
95758,"63,778"
90660,"63,684"
91770,"63,552"
90640,"63,461"
94501,"63,228"
90042,"63,109"
90004,"63,095"
91732,"62,855"
95014,"62,632"
91950,"62,078"
91977,"62,065"
94122,"62,029"
92780,"62,017"
92627,"61,996"
91702,"61,968"
95747,"61,869"
92707,"61,667"
95112,"61,583"
93905,"61,494"
95020,"61,480"
94806,"61,452"
90037,"61,451"
92647,"61,285"
90006,"61,230"
92630,"61,081"
90731,"61,046"
90813,"60,997"
95828,"60,884"
92563,"60,651"
93030,"60,582"
92346,"60,320"
95608,"60,199"
91761,"59,933"
93309,"59,492"
94513,"59,444"
92570,"59,324"
90066,"59,258"
95355,"58,872"
92324,"58,854"
92404,"58,738"
92020,"58,554"
95122,"58,437"
91762,"58,223"
93312,"58,102"
90001,"57,942"
92113,"57,887"
90745,"57,785"
92708,"57,675"
92392,"57,648"
90034,"57,443"
90744,"57,432"
92507,"57,347"
93117,"57,268"
92057,"57,125"
92504,"57,004"
92027,"56,899"
93458,"56,722"
92071,"56,682"
93063,"56,637"
93291,"56,298"
92840,"56,256"
94109,"56,019"
94087,"55,987"
93436,"55,914"
92129,"55,780"
95051,"55,634"
92646,"55,598"
93215,"55,494"
91406,"55,385"
91605,"55,377"
91801,"55,265"
95116,"55,249"
90723,"54,941"
92530,"54,710"
92571,"54,512"
93308,"54,497"
94591,"54,493"
92117,"54,489"
91405,"54,356"
92399,"54,335"
91764,"54,303"
95670,"54,277"
90063,"54,142"
91745,"54,043"
90221,"53,922"
92056,"53,920"
95125,"53,896"
92025,"53,742"
92870,"53,690"
91344,"53,290"
92234,"53,253"
92833,"53,227"
91786,"52,951"
91304,"52,846"
93277,"52,526"
92656,"52,335"
94539,"52,141"
93304,"51,891"
90002,"51,826"
92130,"51,757"
90018,"51,639"
92557,"51,551"
95350,"51,441"
