,name,license_type,city,county,zip
0,986 PHARMACY #8007 ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91208
1,ABC COMPOUNDING PHARMACY ,License Type: Pharmacy (Community),ENCINO, LOS ANGELES, 91436
2,ABM PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91205
3,ADVENTIST HEALTH TELEPHARMACY WEST ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91206
4,AGAPI PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91201
5,AHF PHARMACY ,License Type: Pharmacy (Community),GARDENA, LOS ANGELES, 90248
6,ALOHA DRUGS ,License Type: Pharmacy (Community),HAWTHORNE, LOS ANGELES, 90250
7,ARARAT PLAZA PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91205
8,ARDEN MEDICAL PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91203
9,ARIANNA MEDICAL PHARMACY INC ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91208
10,ARMEN PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91205
11,ASAP PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91206
12,AVS PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91205
13,BALBOA PHARMACY ,License Type: Pharmacy (Community),GRANADA HILLS, LOS ANGELES, 91344
14,BIOCARE RX SPECIALTY PHARMACY LLC ,License Type: Pharmacy (Community),ENCINO, LOS ANGELES, 91316
15,BROADWAY REMEDY PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91204
16,CENTRAL AVENUE PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91203
17,CENTRAL CARE PHARMACY ,License Type: Pharmacy (Community),ENCINO, LOS ANGELES, 91436
18,CENTRAL DRUGS ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91204
19,CITI PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91204
20,COMFORT CARE PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91204
21,COMPLETE CARE PHARMACY ,License Type: Pharmacy (Community),GLENDALE, LOS ANGELES, 91205
22,COSTCO PHARMACY NO 671 ,License Type: Pharmacy (Community),HAWTHORNE, LOS ANGELES, 90250
