,name,license_type,city,county,zip
0,AMERI MEX PHARMACY ,License Type: Pharmacy (Community),BRAWLEY, IMPERIAL, 92227
1,ARVIN PHARMACY ,License Type: Pharmacy (Community),ARVIN, KERN, 93203
2,AVENAL STATE PRISON ,License Type: Correctional Pharmacy,AVENAL, KINGS, 93204
3,BRIMHALL PHARMACY ,License Type: Pharmacy (Community),BAKERSFIELD, KERN, 93312
4,CALEXICO PHARMACY ,License Type: Pharmacy (Community),CALEXICO, IMPERIAL, 92231
5,CALIF STATE COLLEGE-BAKERSFIELD ,License Type: Pharmacy (Government Owned Community),BAKERSFIELD, KERN, 93309
6,CALIF SUBSTANCE ABUSE TREATMENT FACILITY  STATE PRISON CORCORAN ,License Type: Correctional Pharmacy,CORCORAN, KINGS, 93212
7,CALIFORNIA CITY CORRECTIONAL CENTER ,License Type: Correctional Pharmacy,CALIFORNIA CITY, KERN, 93505
8,CALIFORNIA CORRECTIONAL CENTER PHARMACY ,License Type: Correctional Pharmacy,SUSANVILLE, LASSEN, 96127
9,CALIFORNIA CORRECTIONAL INSTITUTION ,License Type: Correctional Pharmacy,TEHACHAPI, KERN, 93561
10,CALIPATRIA STATE PRISON ,License Type: Correctional Pharmacy,CALIPATRIA, IMPERIAL, 92233
11,CAREPHARM PHARMACY ,License Type: Pharmacy (Community),BAKERSFIELD, KERN, 93313
12,CENTER PROFESSIONAL PHARMACY ,License Type: Pharmacy (Community),RIDGECREST, KERN, 93555
13,CENTINELA STATE PRISON ,License Type: Correctional Pharmacy,IMPERIAL, IMPERIAL, 92251
14,CLINICA PHARMACY ,License Type: Pharmacy (Community),BRAWLEY, IMPERIAL, 92227
15,CLINICA SIERRA VISTA ,License Type: Pharmacy (Community),LAMONT, KERN, 93241
16,COMMUNITY PHARMACY ,License Type: Pharmacy (Community),IMPERIAL, IMPERIAL, 92251
17,CORAM CVS/SPECIALTY INFUSION SERVICES ,License Type: Pharmacy (Community),BAKERSFIELD, KERN, 93308
18,CORCORAN STATE PRISON HOSPITAL PHARMACY ,License Type: Correctional Pharmacy,CORCORAN, KINGS, 93212
19,COSTCO PHARMACY #121 ,License Type: Pharmacy (Community),EL CENTRO, IMPERIAL, 92243
20,COSTCO PHARMACY #1244 ,License Type: Pharmacy (Community),HANFORD, KINGS, 93230
21,COSTCO PHARMACY #643 ,License Type: Pharmacy (Community),BAKERSFIELD, KERN, 93313
22,COSTCO PHARMACY NO 688 ,License Type: Pharmacy (Community),BAKERSFIELD, KERN, 93308
23,COYOTE VALLEY PHARMACY ,License Type: Pharmacy (Community),Accusation filed, LAKE, 95467
24,CUREX PHARMACY INC ,License Type: Pharmacy (Community),BAKERSFIELD, KERN, 93308
25,CVS PHARMACY #4221 ,License Type: Pharmacy (Community),BAKERSFIELD, KERN, 93311
26,CVS PHARMACY #8913 ,License Type: Pharmacy (Community),BAKERSFIELD, KERN, 93312
27,CVS/PHARMACY # 16160 ,License Type: Pharmacy (Community),BAKERSFIELD, KERN, 93306
28,CVS/PHARMACY # 16723 ,License Type: Pharmacy (Community),BAKERSFIELD, KERN, 93312
29,CVS/PHARMACY # 16937 ,License Type: Pharmacy (Community),EL CENTRO, IMPERIAL, 92243
30,CVS/PHARMACY # 17025 ,License Type: Pharmacy (Community),HANFORD, KINGS, 93230
