,name,license_type,city,county,zip
0,986 PHARMACY ,License Type: Pharmacy (Community),LA VERNE, LOS ANGELES, 91750
1,986 PHARMACY #8005 ,License Type: Pharmacy (Community),HUNTINGTON PARK, LOS ANGELES, 90255
2,986 SPECIALTY PHARMACY #1 INC ,License Type: Pharmacy (Community),LA PUENTE, LOS ANGELES, 91744
3,AARP PHARMACY SERVICE ,License Type: Pharmacy (Community),LAKEWOOD, LOS ANGELES, 90712
4,ADVANCED PHARMACY CONCEPTS ,License Type: Pharmacy (Community),INGLEWOOD, LOS ANGELES, 90301
5,ALBERTSON'S FOOD & DRUG PHARMACY #1652 ,License Type: Pharmacy (Community),LA MIRADA, LOS ANGELES, 90638
6,ALBERTSON'S FOOD & DRUG PHCY #1675 ,License Type: Pharmacy (Community),LA VERNE, LOS ANGELES, 91750
7,ALLIANCE PHARMACY ,License Type: Pharmacy (Community),INGLEWOOD, LOS ANGELES, 90301
8,AP9 PHARMACY ,License Type: Pharmacy (Community),HUNTINGTON PARK, LOS ANGELES, 90255
9,AZ EXPRESS PHARMACY ,License Type: Pharmacy (Community),LAKEWOOD, LOS ANGELES, 90712
10,BIOMED PHARMACEUTICALS ,License Type: Pharmacy (Community),INGLEWOOD, LOS ANGELES, 90301
11,BIOMED PHARMACEUTICALS ,License Type: Pharmacy (Community),INGLEWOOD, LOS ANGELES, 90301
12,BOB MASTRO PHARMACY ,License Type: Pharmacy (Community),Revoked, LOS ANGELES, 91750
13,BREA HILLS PHARMACY ,License Type: Pharmacy (Community),INGLEWOOD, LOS ANGELES, 90302
14,BRIGHT LA MIRADA PHARMACY ,License Type: Pharmacy (Community),LA MIRADA, LOS ANGELES, 90638
15,BRIGHT LA MIRADA PHARMACY ,License Type: Pharmacy (Community),LA MIRADA, LOS ANGELES, 90638
16,CAMERON PHARMACY ,License Type: Pharmacy (Community),HUNTINGTON PARK, LOS ANGELES, 90255
17,CAMERON PHARMACY ,License Type: Pharmacy (Community),HUNTINGTON PARK, LOS ANGELES, 90255
18,CAMERON PHARMACY ,License Type: Pharmacy (Community),HUNTINGTON PARK, LOS ANGELES, 90255
19,CAPSTONE CLINICAL CARE ,License Type: Pharmacy (Community),LA MIRADA, LOS ANGELES, 90638
20,CLARK DRUGS #12 ,License Type: Pharmacy (Community),LA VERNE, LOS ANGELES, 91750
21,COAST DRUG ,License Type: Pharmacy (Community),HERMOSA BEACH, LOS ANGELES, 90254
22,COLLINS PRESCRIPTION PHARMACY ,License Type: Pharmacy (Community),INGLEWOOD, LOS ANGELES, 90305
23,COSTCO PHARMACY #1050 ,License Type: Pharmacy (Community),LAKEWOOD, LOS ANGELES, 90712
24,COSTCO PHARMACY #769 ,License Type: Pharmacy (Community),INGLEWOOD, LOS ANGELES, 90303
25,COUNTRY CLUB PHARMACY ,License Type: Pharmacy (Community),LA PUENTE, LOS ANGELES, 91745
26,COURTESY DRUGS ,License Type: Pharmacy (Community),HUNTINGTON PARK, LOS ANGELES, 90255
27,CRYSTAL CLINICAL PHARMACY INC ,License Type: Pharmacy (Community),HUNTINGTON PARK, LOS ANGELES, 90255
28,CVS PHARMACY #8837 ,License Type: Pharmacy (Community),INGLEWOOD, LOS ANGELES, 90301
29,CVS PHARMACY #8844 ,License Type: Pharmacy (Community),LAKEWOOD, LOS ANGELES, 90713
30,CVS PHARMACY #8878 ,License Type: Pharmacy (Community),Accusation filed, LOS ANGELES, 90713
31,CVS PHARMACY #9101 ,License Type: Pharmacy (Community),HERMOSA BEACH, LOS ANGELES, 90254
32,CVS PHARMACY #9476 ,License Type: Pharmacy (Community),HERMOSA BEACH, LOS ANGELES, 90254
33,CVS PHARMACY #9572 ,License Type: Pharmacy (Community),LAKEWOOD, LOS ANGELES, 90712
34,CVS PHARMACY #9578 ,License Type: Pharmacy (Community),INGLEWOOD, LOS ANGELES, 90303
35,CVS PHARMACY #9578 ,License Type: Pharmacy (Community),INGLEWOOD, LOS ANGELES, 90303
36,CVS PHARMACY #9584 ,License Type: Pharmacy (Community),INGLEWOOD, LOS ANGELES, 90304
37,CVS PHARMACY #9593 ,License Type: Pharmacy (Community),LAKEWOOD, LOS ANGELES, 90712
38,CVS PHARMACY #9596 ,License Type: Pharmacy (Community),HUNTINGTON PARK, LOS ANGELES, 90255
39,CVS PHARMACY #9629 ,License Type: Pharmacy (Community),LA PUENTE, LOS ANGELES, 91744
40,CVS PHARMACY #9709 ,License Type: Pharmacy (Community),LA VERNE, LOS ANGELES, 91750
