,name,license_type,city,county,zip
0,AHF PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90804
1,AMERICAN INTEGRATIVE PHARMACY ,License Type: Pharmacy (Community),LOMITA, LOS ANGELES, 90717
2,ATLANTIC DRUGS ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90807
3,ATLANTIC PROFESSIONAL PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90813
4,BELMONT RX LLC ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90805
5,BENZER PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90803
6,BIXBY PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90808
7,BURNS PRESCRIPTION PHARMACY INC ,License Type: Pharmacy (Community),LANCASTER, LOS ANGELES, 93534
8,COMMUNITY A WALGREENS PHARMACY #21154 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90813
9,COSTCO PHARMACY NO 479 ,License Type: Pharmacy (Community),MARINA DEL REY, LOS ANGELES, 90292
10,COSTCO PHARMACY NO 762 ,License Type: Pharmacy (Community),LANCASTER, LOS ANGELES, 93534
11,CVS PHARMACY #1176 ,License Type: Pharmacy (Community),Probation Terminated/Completed, LOS ANGELES, 90717
12,CVS PHARMACY #1666 ,License Type: Pharmacy (Community),Public Reprimand, LOS ANGELES, 93534
13,CVS PHARMACY #7191 ,License Type: Pharmacy (Community),LAWNDALE, LOS ANGELES, 90260
14,CVS PHARMACY #8522 ,License Type: Pharmacy (Community),LANCASTER, LOS ANGELES, 93534
15,CVS PHARMACY #8838 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90815
16,CVS PHARMACY #8864 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90807
17,CVS PHARMACY #8871 ,License Type: Pharmacy (Community),MARINA DEL REY, LOS ANGELES, 90292
18,CVS PHARMACY #8876 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90806
19,CVS PHARMACY #9123 ,License Type: Pharmacy (Community),LYNWOOD, LOS ANGELES, 90262
20,CVS PHARMACY #9505 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90815
21,CVS PHARMACY #9543 ,License Type: Pharmacy (Community),LOMITA, LOS ANGELES, 90717
22,CVS PHARMACY #9557 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90806
23,CVS PHARMACY #9566 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90802
24,CVS PHARMACY #9579 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90807
25,CVS PHARMACY #9588 ,License Type: Pharmacy (Community),LAWNDALE, LOS ANGELES, 90260
26,CVS PHARMACY #9590 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90805
27,CVS PHARMACY #9618 ,License Type: Pharmacy (Community),LANCASTER, LOS ANGELES, 93536
28,CVS PHARMACY #9657 ,License Type: Pharmacy (Community),LANCASTER, LOS ANGELES, 93535
29,CVS PHARMACY #9697 ,License Type: Pharmacy (Community),MALIBU, LOS ANGELES, 90265
30,CVS PHARMACY #9785 ,License Type: Pharmacy (Community),LANCASTER, LOS ANGELES, 93536
31,CVS PHARMACY NO 6755 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90805
32,CVS/PHARMACY # 16047 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90815
33,CVS/PHARMACY # 16049 ,License Type: Pharmacy (Community),MANHATTAN BEACH, LOS ANGELES, 90266
34,CVS/PHARMACY # 16069 ,License Type: Pharmacy (Community),LANCASTER, LOS ANGELES, 93534
35,CVS/PHARMACY # 17481 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90805
36,CVS/PHARMACY #09513 ,License Type: Pharmacy (Community),MANHATTAN BEACH, LOS ANGELES, 90266
37,CVS/PHARMACY #10008 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90803
38,CVS/PHARMACY #3931 ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90814
39,CVS/PHARMACY #9496 ,License Type: Pharmacy (Community),MANHATTAN BEACH, LOS ANGELES, 90266
40,DEPARTMENT OF PHARMACY CALIFORNIA STATE PRISON LA COUNTY ,License Type: Correctional Pharmacy,LANCASTER, LOS ANGELES, 93536
41,DOUGLAS PARK PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90808
42,DUME PLAZA PHARMACY ,License Type: Pharmacy (Community),MALIBU, LOS ANGELES, 90265
43,FAMILY PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90813
44,GAGE PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90805
45,GALAXY PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90813
46,GOLDEN PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90813
47,GOOD LIFE PHARMACY INC (DBA) AVIVA PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90806
48,HARTLEY MED CTR PHCY INC ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90805
49,HI-DESERT MEDICAL PHARMACY ,License Type: Pharmacy (Community),LANCASTER, LOS ANGELES, 93535
50,HOME CARE PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90806
51,INFUSION CARE PHARMACY NORTH ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90806
52,INTRA RX DRUGS LYNWOOD ,License Type: Pharmacy (Community),LYNWOOD, LOS ANGELES, 90262
53,J PHARMACY ,License Type: Pharmacy (Community),LANCASTER, LOS ANGELES, 93534
54,JOHN'S SHOP RITE PHARMACY ,License Type: Pharmacy (Community),LONG BEACH, LOS ANGELES, 90805
55,KAISER PERMANENTE PHARMACY #113 ,License Type: Pharmacy (Community),Probation, LOS ANGELES, 90804
56,KAISER PERMANENTE PHARMACY #123 ,License Type: Pharmacy (Community),MANHATTAN BEACH, LOS ANGELES, 90266
