,name,license_type,city,county,zip
0,A TO Z PHARMACY ,License Type: Pharmacy (Community),NORTH HOLLYWOOD, LOS ANGELES, 91607
1,A. V. PHARMACY ,License Type: Pharmacy (Community),PALMDALE, LOS ANGELES, 93551
2,ALONDRA PHARMACY ,License Type: Pharmacy (Community),NORWALK, LOS ANGELES, 90650
3,ARARAT PHARMACY ,License Type: Pharmacy (Community),PASADENA, LOS ANGELES, 91106
4,ARCADE LANE COMPOUNDING PHARMACY ,License Type: Pharmacy (Community),PASADENA, LOS ANGELES, 91101
5,BELLAIRE PHARMACY ,License Type: Pharmacy (Community),NORTH HOLLYWOOD, LOS ANGELES, 91605
6,BERRY & SWEENEY PHARMACY ,License Type: Pharmacy (Community),PASADENA, LOS ANGELES, 91103
7,BROWN & WELIN PHARMACY ,License Type: Pharmacy (Community),PASADENA, LOS ANGELES, 91106
8,CAHUENGA BLVD PHARMACY ,License Type: Pharmacy (Community),NORTH HOLLYWOOD, LOS ANGELES, 91601
9,CAL OAKS II HEALTH MART PHARMACY ,License Type: Pharmacy (Community),PASADENA, LOS ANGELES, 91105
10,CAL OAKS PHARMACY ,License Type: Pharmacy (Community),PASADENA, LOS ANGELES, 91105
11,CHASE PHARMACY ,License Type: Pharmacy (Community),PANORAMA CITY, LOS ANGELES, 91402
12,CLINICARE PHARMACY ,License Type: Pharmacy (Community),NORTHRIDGE, LOS ANGELES, 91324
13,COMMUNITY HEALTH ALLIANCE OF PASADENA ,License Type: Pharmacy (Community),PASADENA, LOS ANGELES, 91103
14,COSTCO PHARMACY #1071 ,License Type: Pharmacy (Community),PACOIMA, LOS ANGELES, 91331
15,COSTCO PHARMACY #410 ,License Type: Pharmacy (Community),NORWALK, LOS ANGELES, 90650
16,COSTCO PHARMACY #437 ,License Type: Pharmacy (Community),NORTHRIDGE, LOS ANGELES, 91324
17,CVS PHARMACY #10917 ,License Type: Pharmacy (Community),PASADENA, LOS ANGELES, 91106
18,CVS PHARMACY #1573 ,License Type: Pharmacy (Community),NORTH HOLLYWOOD, LOS ANGELES, 91602
19,CVS PHARMACY #1778 ,License Type: Pharmacy (Community),PASADENA, LOS ANGELES, 91107
20,CVS PHARMACY #3055 ,License Type: Pharmacy (Community),PALMDALE, LOS ANGELES, 93552
21,CVS PHARMACY #8841 ,License Type: Pharmacy (Community),NORWALK, LOS ANGELES, 90650
22,CVS PHARMACY #8865 ,License Type: Pharmacy (Community),NORWALK, LOS ANGELES, 90650
23,CVS PHARMACY #8889 ,License Type: Pharmacy (Community),NORWALK, LOS ANGELES, 90650
24,CVS PHARMACY #9605 ,License Type: Pharmacy (Community),NORTHRIDGE, LOS ANGELES, 91324
25,CVS PHARMACY #9634 ,License Type: Pharmacy (Community),PALMDALE, LOS ANGELES, 93550
26,CVS PHARMACY #9642 ,License Type: Pharmacy (Community),NORTHRIDGE, LOS ANGELES, 91324
27,CVS PHARMACY #9668 ,License Type: Pharmacy (Community),PASADENA, LOS ANGELES, 91105
28,CVS PHARMACY #9688 ,License Type: Pharmacy (Community),PASADENA, LOS ANGELES, 91107
