name,license_type,county,city,zip
2010 PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
A PLUS PHARMACY ,License Type: Pharmacy (Community),BUENA PARK, ORANGE, 90620
A1CARE PHARMACY ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92705
AAA COMMUNITY PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
ABC PHARMACY ,License Type: Pharmacy (Community),LAGUNA HILLS, ORANGE, 92653
ACACIA PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92840
ACARE PHARMACY ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92804
ACTIVE CARE PHARMACY ,License Type: Pharmacy (Community),FOUNTAIN VALLEY, ORANGE, 92708
ADVANCED HEALTHCARE PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
ADVANCED PHARMACY SOLUTIONS ,License Type: Pharmacy (Community),LAGUNA HILLS, ORANGE, 92653
AHCS SPECIALTY CARE ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92845
ALLCARE PHARMACY #3 ,License Type: Pharmacy (Community),SANTA ANA, ORANGE, 92701
ALLIANCE PHARMACY INC ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92802
ALOHA PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
ALPHA DRUGS ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92804
ALPHA PHARMACY ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92804
ALTAMED PHARMACY 4 ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92840
ALTAMED PHARMACY 5 ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92801
ALTO PHARMACY ,License Type: Pharmacy (Community),IRVINE, ORANGE, 92618
AMERIPHARMA ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92868
AMERIPHARMA SPECIALTY CARE ,License Type: Pharmacy (Community),ORANGE, ORANGE, 92868
AN PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
ANA PHARMACY ,License Type: Pharmacy (Community),GARDEN GROVE, ORANGE, 92843
ANAHEIM HILLS MEDICAL PHARMACY ,License Type: Pharmacy (Community),ANAHEIM HILLS, ORANGE, 92807
ANAHEIM PHARMACY ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92805
ANAHEIM PRO-CARE PHARMACY ,License Type: Pharmacy (Community),ANAHEIM, ORANGE, 92801
ANH-NHI PHARMACY ,License Type: Pharmacy (Community),WESTMINSTER, ORANGE, 92683
