name,license_type,county,city,zip
ABC PHARMACY ,License Type: Pharmacy (Community),RIVERSIDE, RIVERSIDE, 92507
ACARIAHEALTH PHARMACY #14 INC ,License Type: Pharmacy (Community),SACRAMENTO, SACRAMENTO, 95834
ACCESS MYRX PHARMACY LLC ,License Type: Pharmacy (Community),ELK GROVE, SACRAMENTO, 95624
ACCREDO HEALTH GROUP INC ,License Type: Pharmacy (Community),CORONA, RIVERSIDE, 92880
ADVANCED CARE PHARMACY ,License Type: Pharmacy (Community),CORONA, RIVERSIDE, 92880
ADVANTAGE PHARMACEUTICALS INC ,License Type: Pharmacy (Community),ROCKLIN, PLACER, 95677
AIDS FOR DAILY LIVING INC ,License Type: Pharmacy (Community),ROCKLIN, PLACER, 95765
AMBROSIA HEALTHCARE INC ,License Type: Pharmacy (Community),PALM DESERT, RIVERSIDE, 92211
AMBULATORY CARE CENTER PHARMACY ,License Type: Pharmacy (Government Owned Community),SACRAMENTO, SACRAMENTO, 95817
ANDERSON BROS FLORIN SQUARE PHARMACY ,License Type: Pharmacy (Community),SACRAMENTO, SACRAMENTO, 95822
ANDERSON BROS TOWN & COUNTRY PHARMACY INC ,License Type: Pharmacy (Community),Probation, SACRAMENTO, 95821
"ANTELOPE PHARMACY, INC ",License Type: Pharmacy (Community),ANTELOPE, SACRAMENTO, 95843
ANZA VALLEY PHARMACY ,License Type: Pharmacy (Community),ANZA, RIVERSIDE, 92539
AQUA PHARMACY INC ,License Type: Pharmacy (Community),RIVERSIDE, RIVERSIDE, 92501
ARCHANGEL MICHAEL PHARMACY ,License Type: Pharmacy (Community),TEMECULA, RIVERSIDE, 92592
ARLINGTON MEDICA PHARMACY ,License Type: Pharmacy (Community),RIVERSIDE, RIVERSIDE, 92503
ARLINGTON PRESCRIPTION PHARMACY ,License Type: Pharmacy (Community),RIVERSIDE, RIVERSIDE, 92503
AUSTIN'S PHARMACY ,License Type: Pharmacy (Community),BLYTHE, RIVERSIDE, 92225
AVELLA OF SACRAMENTO INC ,License Type: Pharmacy (Community),SACRAMENTO, SACRAMENTO, 95821
BANDYS PHARMACY ,License Type: Pharmacy (Community),BLYTHE, RIVERSIDE, 92225
BEAR CREEK PHARMACY ,License Type: Pharmacy (Community),WILDOMAR, RIVERSIDE, 92595
BEL AIR PHARMACY #502 ,License Type: Pharmacy (Community),SACRAMENTO, SACRAMENTO, 95864
BEL AIR PHARMACY #509 ,License Type: Pharmacy (Community),ROSEVILLE, PLACER, 95661
BEL AIR PHARMACY #510 ,License Type: Pharmacy (Community),SACRAMENTO, SACRAMENTO, 95833
BEL AIR PHARMACY #511 ,License Type: Pharmacy (Community),CARMICHAEL, SACRAMENTO, 95608
BEL AIR PHARMACY #512 ,License Type: Pharmacy (Community),ROSEVILLE, PLACER, 95747
BEL AIR PHARMACY #514 ,License Type: Pharmacy (Community),SACRAMENTO, SACRAMENTO, 95831
BEL AIR PHARMACY #516 ,License Type: Pharmacy (Community),ELK GROVE, SACRAMENTO, 95758
BEL AIR PHARMACY #517 ,License Type: Pharmacy (Community),AUBURN, PLACER, 95603
BEL AIR PHARMACY #518 ,License Type: Pharmacy (Community),ROCKLIN, PLACER, 95765
BEL AIR PHARMACY #519 ,License Type: Pharmacy (Community),ANTELOPE, SACRAMENTO, 95843
BEL AIR PHARMACY #522 ,License Type: Pharmacy (Community),GOLD RIVER, SACRAMENTO, 95670
BEL AIR PHARMACY #523 ,License Type: Pharmacy (Community),ELK GROVE, SACRAMENTO, 95624
BEL AIR PHARMACY #524 ,License Type: Pharmacy (Community),FOLSOM, SACRAMENTO, 95630
BEL AIR PHARMACY #525 ,License Type: Pharmacy (Community),ELK GROVE, SACRAMENTO, 95624
BEL AIR PHARMACY #528 ,License Type: Pharmacy (Community),SACRAMENTO, SACRAMENTO, 95834
BLUE OAKS LTC PHARMACY ,License Type: Pharmacy (Community),ROSEVILLE, PLACER, 95678
BLYTHE MART PHARMACY ,License Type: Pharmacy (Community),BLYTHE, RIVERSIDE, 92225
BORREGO PHARMACY ,License Type: Pharmacy (Community),CATHEDRAL CITY, RIVERSIDE, 92234
