name,license_type,county,city,zip
12422 CENTRAL PHARMACY ,License Type: Pharmacy (Community),CHINO, SAN BERNARDINO, 91710
1ST CHOICE PHARMACY ,License Type: Pharmacy (Community),POWAY, SAN DIEGO, 92064
4 FRONT PHARMACY ,License Type: Pharmacy (Community),LA MESA, SAN DIEGO, 91942
A FAMILY PHARMACY ,License Type: Pharmacy (Community),HESPERIA, SAN BERNARDINO, 92345
A FAMILY PHARMACY APPLE VALLEY ,License Type: Pharmacy (Community),APPLE VALLEY, SAN BERNARDINO, 92307
A1 CARE PHARMACY ,License Type: Pharmacy (Community),FONTANA, SAN BERNARDINO, 92336
ABC PHARMACY ,License Type: Pharmacy (Community),ONTARIO, SAN BERNARDINO, 91764
ABC PHARMACY ,License Type: Pharmacy (Community),REDLANDS, SAN BERNARDINO, 92374
ABC PHARMACY ,License Type: Pharmacy (Community),RIALTO, SAN BERNARDINO, 92376
ABC PHARMACY ,License Type: Pharmacy (Community),RANCHO CUCAMONGA, SAN BERNARDINO, 91730
ABC PHARMACY ,License Type: Pharmacy (Community),UPLAND, SAN BERNARDINO, 91786
ABC PHARMACY ,License Type: Pharmacy (Community),MONTCLAIR, SAN BERNARDINO, 91763
ACE PHARMACY ,License Type: Pharmacy (Community),UPLAND, SAN BERNARDINO, 91786
ADVANCE CARE PHARMACY ,License Type: Pharmacy (Community),ESCONDIDO, SAN DIEGO, 92025
AHF PHARMACY ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92103
ALL CARE PHARMACY ,License Type: Pharmacy (Community),SANTEE, SAN DIEGO, 92071
ALLCARE PHARMACY ,License Type: Pharmacy (Community),VICTORVILLE, SAN BERNARDINO, 92395
ALLEN PHARMACY ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92101
ALTA CARE PHARMACY ,License Type: Pharmacy (Community),UPLAND, SAN BERNARDINO, 91786
ALTA VISTA PHARMACY ,License Type: Pharmacy (Community),MONTCLAIR, SAN BERNARDINO, 91763
ALVARADO COMMUNITY PHARMACY ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92120
ALVARADO PHARMACY SERVICES INC ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92120
AM PHARMACY ,License Type: Pharmacy (Community),HESPERIA, SAN BERNARDINO, 92345
AMBER ENTERPRISES INC D/B/A AMBER PHARMACY ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92408
AMERICAN SURGICAL PHARMACY ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92404
ARROW PHARMACY ,License Type: Pharmacy (Community),RANCHO CUCAMONGA, SAN BERNARDINO, 91730
ARROWCARE PHARMACY ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92404
ARROWHEAD REGIONAL MED CTR PHY ,License Type: Pharmacy (Government Owned Community),COLTON, SAN BERNARDINO, 92324
ASMAR COMMUNITY PHARMACY ,License Type: Pharmacy (Community),EL CAJON, SAN DIEGO, 92020
AVALON PHARMACY ,License Type: Pharmacy (Community),YUCCA VALLEY, SAN BERNARDINO, 92284
BALDY VISTA PHARMACY ,License Type: Pharmacy (Community),ONTARIO, SAN BERNARDINO, 91762
BEEMANS HIGHLAND PHARMACY ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92404
BEEMANS LAKE ARROWHEAD PHARMACY ,License Type: Pharmacy (Community),LAKE ARROWHEAD, SAN BERNARDINO, 92352
BEEMANS PRESCRIPTION PHARMACY ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92404
BEEMANS REDLANDS PHARMACY ,License Type: Pharmacy (Community),REDLANDS, SAN BERNARDINO, 92373
BEST PHARMACY ,License Type: Pharmacy (Community),VICTORVILLE, SAN BERNARDINO, 92395
BIOSCRIP INFUSION SERVICES INC ,License Type: Pharmacy (Community),ONTARIO, SAN BERNARDINO, 91761
BORREGO COMMUNITY HEALTH FOUNDATION ,License Type: Pharmacy (Community),Probation Terminated/Completed, SAN DIEGO, 92004
BORREGO PHARMACY BARSTOW ,License Type: Pharmacy (Community),BARSTOW, SAN BERNARDINO, 92311
BRAND NEW PHARMACY INC ,License Type: Pharmacy (Community),REDLANDS, SAN BERNARDINO, 92373
BRIAN PHARMACY ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92115
BROADWAY PHARMACY ,License Type: Pharmacy (Community),LEMON GROVE, SAN DIEGO, 91945
CA&K INC DBA PRICE RITE PHARMACY ,License Type: Pharmacy (Community),CARLSBAD, SAN DIEGO, 92011
CAJON PHARMACY ,License Type: Pharmacy (Community),REDLANDS, SAN BERNARDINO, 92373
CALICARE PHARMACY ,License Type: Pharmacy (Community),CHINO, SAN BERNARDINO, 91710
CANARY PHARMACY ,License Type: Pharmacy (Community),MONTCLAIR, SAN BERNARDINO, 91763
CARDINAL HEALTH ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92108
"CARDINAL HEALTH 414,LLC ",License Type: Pharmacy (Community),COLTON, SAN BERNARDINO, 92324
CARE PHARMACY ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92115
CARE PHARMACY ,License Type: Pharmacy (Community),FONTANA, SAN BERNARDINO, 92335
CAREMARK CALIFORNIA SPECIALTY PHARMACY LLC DBA CVS SPECIALTY ,License Type: Pharmacy (Community),REDLANDS, SAN BERNARDINO, 92374
"CAREMARK, L.L.C DBA CVS/SPECIALTY ",License Type: Pharmacy (Community),REDLANDS, SAN BERNARDINO, 92374
CARLSBAD VILLAGE PHARMACY ,License Type: Pharmacy (Community),CARLSBAD, SAN DIEGO, 92008
CARMEL VALLEY PHARMACY ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92130
CBC COMMUNITY PHARMACY ,License Type: Pharmacy (Community),SAN BERNARDINO, SAN BERNARDINO, 92411
CEDAR PARK PHARMACY ,License Type: Pharmacy (Community),VISTA, SAN DIEGO, 92083
CHILDRENS MEDICAL CENTER PHARMACY ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92123
CHINO HILLS PROFESSIONAL PHARMACY ,License Type: Pharmacy (Community),CHINO HILLS, SAN BERNARDINO, 91709
CHINO MEDICAL PHARMACY ,License Type: Pharmacy (Community),CHINO, SAN BERNARDINO, 91710
CHINO PLAZA PHARMACY ,License Type: Pharmacy (Community),CHINO, SAN BERNARDINO, 91710
CHINOCARE PHARMACY ,License Type: Pharmacy (Community),CHINO, SAN BERNARDINO, 91710
CHULAVISTA PHARMACY ,License Type: Pharmacy (Community),CHULA VISTA, SAN DIEGO, 91910
CITRUS PHARMACY ,License Type: Pharmacy (Community),REDLANDS, SAN BERNARDINO, 92373
COAST COMPOUNDING PHARMACY ,License Type: Pharmacy (Community),OCEANSIDE, SAN DIEGO, 92054
COLE'S VILLAGE PHARMACY ,License Type: Pharmacy (Community),FONTANA, SAN BERNARDINO, 92335
COLTON PHARMACY ,License Type: Pharmacy (Community),COLTON, SAN BERNARDINO, 92324
COMMUNITY A WALGREENS PHARMACY #16490 ,License Type: Pharmacy (Community),LA JOLLA, SAN DIEGO, 92037
COMMUNITY CARE PHARMACY ,License Type: Pharmacy (Community),APPLE VALLEY, SAN BERNARDINO, 92307
COMMUNITY HEALTHCARE SERVICES INC ,License Type: Pharmacy (Community),LOMA LINDA, SAN BERNARDINO, 92354
COMMUNITY MEDICAL CENTER PHARMACY ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92102
COMMUNITY PHARMACY OF VALLEY CENTER ,License Type: Pharmacy (Community),VALLEY CENTER, SAN DIEGO, 92082
"COMMUNITY, A WALGREENS PHARMACY_#13434 ",License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92103
COMPREHENSIVE HEALTH CENTER PHARMACY ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92113
COOLEY HEALTH PHARMACY ,License Type: Pharmacy (Community),COLTON, SAN BERNARDINO, 92324
CORAM CVS/SPECIALTY INFUSION SERVICES ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92128
CORAM CVS/SPECIALTY INFUSION SERVICES ,License Type: Pharmacy (Community),ONTARIO, SAN BERNARDINO, 91761
CORTEXRX ,License Type: Pharmacy (Community),LA JOLLA, SAN DIEGO, 92037
COSTCO PHARMACY #1010 ,License Type: Pharmacy (Community),VICTORVILLE, SAN BERNARDINO, 92395
COSTCO PHARMACY #1080 ,License Type: Pharmacy (Community),SAN MARCOS, SAN DIEGO, 92069
COSTCO PHARMACY #124 ,License Type: Pharmacy (Community),VISTA, SAN DIEGO, 92081
COSTCO PHARMACY #401 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92117
COSTCO PHARMACY #452 ,License Type: Pharmacy (Community),SAN DIEGO, SAN DIEGO, 92128
