,name,license_type,county,city,zip
0,15TH STREET PHARMACY ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90404
1,2222 PRESCRIPTION PHARMACY ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90404
2,ABSOLUTE CARE ,License Type: Pharmacy (Community),SAN FERNANDO, LOS ANGELES, 91340
3,AHF HEALTHCARE CENTER-VALLEY ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91403
4,ALBERTSONS-SAFEWAY PHARMACY #4705 ,License Type: Pharmacy (Community),SANTA FE SPRINGS, LOS ANGELES, 90670
5,ALEX PHARMACY ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91776
6,ALPHA MEDICAL PHARMACY II ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91776
7,B & A PHARMACY ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91776
8,BEST BUY DRUGS ,License Type: Pharmacy (Community),SIERRA MADRE, LOS ANGELES, 91024
9,BIG 1 PHARMACY ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91776
10,BRENTWOOD PHARMACY ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90402
11,BUY-WELL DRUGS ,License Type: Pharmacy (Community),SAN MARINO, LOS ANGELES, 91108
12,CAL OAKS III HM PHARMACY AT SAN MARINO ,License Type: Pharmacy (Community),SAN MARINO, LOS ANGELES, 91108
13,CAPITOL DRUGS - SHERMAN OAKS ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91403
14,CENTRAL ADMIXTURE PHARMACY SERVICES INC ,License Type: Pharmacy (Community),SANTA FE SPRINGS, LOS ANGELES, 90670
15,CENTRAL PHARMACY ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90403
16,"COMMUNITY, A WALGREENS PHARMACY_#15293 ",License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91403
17,COSTCO PHARMACY #1015 ,License Type: Pharmacy (Community),SAN DIMAS, LOS ANGELES, 91773
18,COSTCO PHARMACY #447 ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91387
19,CRESCENT HEALTHCARE ,License Type: Pharmacy (Community),SANTA FE SPRINGS, LOS ANGELES, 90670
20,CRESCENT HEALTHCARE ,License Type: Pharmacy (Community),SANTA FE SPRINGS, LOS ANGELES, 90670
21,CVS PHARMACY #9122 ,License Type: Pharmacy (Community),SAN PEDRO, LOS ANGELES, 90731
22,CVS PHARMACY #9571 ,License Type: Pharmacy (Community),SAN PEDRO, LOS ANGELES, 90732
23,CVS PHARMACY #9608 ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90404
24,CVS PHARMACY #9636 ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91355
25,CVS PHARMACY #9699 ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91350
26,CVS PHARMACY #9707 ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91403
27,CVS PHARMACY #9714 ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91321
28,CVS PHARMACY #9726 ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90401
29,CVS PHARMACY NO 4790 ,License Type: Pharmacy (Community),SAN DIMAS, LOS ANGELES, 91773
30,CVS/PHARMACY # 16061 ,License Type: Pharmacy (Community),SANTA FE SPRINGS, LOS ANGELES, 90670
31,CVS/PHARMACY # 16236 ,License Type: Pharmacy (Community),SAN DIMAS, LOS ANGELES, 91773
32,CVS/PHARMACY # 17123 ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91387
33,CVS/PHARMACY # 17521 ,License Type: Pharmacy (Community),SAN PEDRO, LOS ANGELES, 90731
34,CVS/PHARMACY #09858 ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91355
35,CVS/PHARMACY #3903 ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90403
36,CVS/PHARMACY #5483 ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91401
37,CVS/PHARMACY #9160 ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91775
38,DRUGTOWN ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90403
39,EZ PHARMACY INC ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91776
40,GARFIELD BEACH CVS LLC D/B/A CVS/PHARMACY #10807 ,License Type: Pharmacy (Community),SAN FERNANDO, LOS ANGELES, 91340
41,GOLDEN WELLNESS RX INC ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90403
42,GOOD PHARMACY ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91776
43,GRIFFITH DRUGS ,License Type: Pharmacy (Community),SANTA FE SPRINGS, LOS ANGELES, 90670
44,HORTON & CONVERSE PHARMACY ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90404
45,INFUSION CONNECTIONS PHARMACY SERVICES INC ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90404
46,KAISER PERMANENTE PHARMACY #271 ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91355
47,KAISER PERMANENTE PHARMACY #271C ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91355
48,KAISER PERMANENTE PHARMACY #281 ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91355
49,KAISER PERMANENTE PHARMACY #339 ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90401
50,KAISER PERMANENTE PHARMACY #553 ,License Type: Pharmacy (Community),SAN DIMAS, LOS ANGELES, 91773
51,KIEU AN PHARMACY ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91776
52,LOS ANGELES CO SAN FERNANDO PHY ,License Type: Pharmacy (Government Owned Community),SAN FERNANDO, LOS ANGELES, 91340
53,LOTUS PHARMACY ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91776
54,LUCKY PHARMACY ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91776
55,MAXSONS DRUGS ,License Type: Pharmacy (Community),Probation Terminated/Completed, LOS ANGELES, 91423
56,MCCARTHY DRUGS ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90405
57,MED QUICK PRESCRIPTION SHOPPE ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91776
58,MICHAELS PHARMACY ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91403
59,MIRACLE CARE PHARMACY ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91321
60,MULTICARE PHARMACY ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91403
61,NEW 1 PHARMACY ,License Type: Pharmacy (Community),SAN GABRIEL, LOS ANGELES, 91776
62,NORTH VALLEY PHARMACY AND MEDICAL SUPPLIES ,License Type: Pharmacy (Community),SAN FERNANDO, LOS ANGELES, 91340
63,NORTHEAST VALLEY HEALTH CORP PHY ,License Type: Pharmacy (Community),SAN FERNANDO, LOS ANGELES, 91340
64,OAKS COMMUNITY PHARMACY ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91423
65,OCEAN PARK PHARMACY ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90405
66,OLYMPUS PHARMACY INC ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91423
67,OMEGA CARE PHARMACY ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91403
68,PACIFIC PHARMACY ,License Type: Pharmacy (Community),Accusation filed, LOS ANGELES, 91776
69,PARKSIDE PHARMACY ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90404
70,PENINSULA PHARMACY ,License Type: Pharmacy (Community),SAN PEDRO, LOS ANGELES, 90731
71,PHANTASTIC PHARMACY ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91403
72,PHARMACA INTEGRATIVE PHARMACY INC ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90403
73,PIH HEALTH PHARMACY ,License Type: Pharmacy (Community),SANTA FE SPRINGS, LOS ANGELES, 90670
74,RALPHS PHARMACY #222 ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91403
75,RALPHS PHARMACY 70300087 ,License Type: Pharmacy (Community),SAN PEDRO, LOS ANGELES, 90732
76,RALPHS PHARMACY 70300292 ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90404
77,RALPHS PHARMACY 70300702 ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91401
78,RIGHT CHOICE PHARMACY ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91423
79,RITE AID 5488 ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90403
80,RITE AID 5489 ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90403
81,RITE AID 5490 ,License Type: Pharmacy (Community),SANTA MONICA, LOS ANGELES, 90405
82,RITE AID 5513 ,License Type: Pharmacy (Community),SAN PEDRO, LOS ANGELES, 90731
83,RITE AID 5514 ,License Type: Pharmacy (Community),SAN PEDRO, LOS ANGELES, 90732
84,RITE AID 5551 ,License Type: Pharmacy (Community),SAN FERNANDO, LOS ANGELES, 91340
85,RITE AID 5555 ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91350
86,RITE AID 5557 ,License Type: Pharmacy (Community),SANTA CLARITA, LOS ANGELES, 91355
87,RITE AID 5569 ,License Type: Pharmacy (Community),SHERMAN OAKS, LOS ANGELES, 91423
