,name,license_type,county,city,zip
0,ALTAIR PHARMACY & HEALTH SERVICES ,License Type: Pharmacy (Community),FAIRFIELD, SOLANO, 94534
1,AMC COMMUNITY PHARMACY ,License Type: Pharmacy (Community),HEALDSBURG, SONOMA, 95448
2,ANIMAL SOLUTIONS PHARMACY INC ,License Type: Pharmacy (Community),Probation, SONOMA, 95407
3,BEL AIR PHARMACY #521 ,License Type: Pharmacy (Community),YUBA CITY, SUTTER, 95993
4,BOIES MEDICAL CENTER PHARMACY ,License Type: Pharmacy (Community),TURLOCK, STANISLAUS, 95382
5,BOULDER CREEK PHARMACY ,License Type: Pharmacy (Community),BOULDER CREEK, SANTA CRUZ, 95006
6,"BRIOVARX INFUSION SERVICES 403, LLC ",License Type: Pharmacy (Community),ROHNERT PARK, SONOMA, 94928
7,CALIFORNIA STATE PRISON PHARMACY ,License Type: Correctional Pharmacy,VACAVILLE, SOLANO, 95696
8,CAPITAL CITY PHARMACY ,License Type: Pharmacy (Community),VALLEJO, SOLANO, 94590
9,"CARDINAL HEALTH 414,LLC ",License Type: Pharmacy (Community),REDDING, SHASTA, 96001
10,CARRANZA PHARMACY HUGHSON ,License Type: Pharmacy (Community),HUGHSON, STANISLAUS, 95326
11,CERES DRUG STORE INC ,License Type: Pharmacy (Community),CERES, STANISLAUS, 95307
12,CLINIC PHARMACY ,License Type: Pharmacy (Community),HAPPY CAMP, SISKIYOU, 96039
13,CLOVERDALE PHARMACY ,License Type: Pharmacy (Community),CLOVERDALE, SONOMA, 95425
14,COFFEE PLAZA PHARMACY ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95355
15,CONSONUS PHARMACY SERVICES CA NORTH LLC ,License Type: Pharmacy (Community),VACAVILLE, SOLANO, 95688
16,COSTCO PHARMACY #132 ,License Type: Pharmacy (Community),VALLEJO, SOLANO, 94591
17,COSTCO PHARMACY #149 ,License Type: Pharmacy (Community),SANTA CRUZ, SANTA CRUZ, 95060
18,COSTCO PHARMACY 133 ,License Type: Pharmacy (Community),REDDING, SHASTA, 96003
19,COSTCO PHARMACY 41 ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95407
20,COSTCO PHARMACY NO 453 ,License Type: Pharmacy (Community),FAIRFIELD, SOLANO, 94534
21,COSTCO PHARMACY NO 659 ,License Type: Pharmacy (Community),ROHNERT PARK, SONOMA, 94928
22,COSTCO PHARMACY NO 661 ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95356
23,COSTCO PHARMACY NO 694 ,License Type: Pharmacy (Community),VACAVILLE, SOLANO, 95687
24,COSTCO WHOLESALE #782 ,License Type: Pharmacy (Community),TURLOCK, STANISLAUS, 95380
25,COTTONWOOD DRUGS ,License Type: Pharmacy (Community),COTTONWOOD, SHASTA, 96022
26,CREEKSIDE PHARMACY ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95404
27,CSU STANISLAUS PHARMACY ,License Type: Pharmacy (Government Owned Community),TURLOCK, STANISLAUS, 95382
28,CVS PHARMACY #1467 ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95350
29,CVS/PHARMACY # 16082 ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95350
30,CVS/PHARMACY # 16109 ,License Type: Pharmacy (Community),YUBA CITY, SUTTER, 95991
31,CVS/PHARMACY # 16161 ,License Type: Pharmacy (Community),REDDING, SHASTA, 96003
32,CVS/PHARMACY # 16199 ,License Type: Pharmacy (Community),FAIRFIELD, SOLANO, 94533
33,CVS/PHARMACY # 16274 ,License Type: Pharmacy (Community),VACAVILLE, SOLANO, 95687
34,CVS/PHARMACY # 16293 ,License Type: Pharmacy (Community),ROHNERT PARK, SONOMA, 94928
35,CVS/PHARMACY # 16356 ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95407
36,CVS/PHARMACY # 16357 ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95356
37,CVS/PHARMACY # 16507 ,License Type: Pharmacy (Community),WATSONVILLE, SANTA CRUZ, 95076
38,CVS/PHARMACY # 16647 ,License Type: Pharmacy (Community),TURLOCK, STANISLAUS, 95380
39,CVS/PHARMACY # 17183 ,License Type: Pharmacy (Community),RIVERBANK, STANISLAUS, 95367
40,CVS/PHARMACY # 17586 ,License Type: Pharmacy (Community),PETALUMA, SONOMA, 94952
41,CVS/PHARMACY # 17641 ,License Type: Pharmacy (Community),CAPITOLA, SANTA CRUZ, 95010
42,CVS/PHARMACY # 17646 ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95401
43,CVS/PHARMACY #0345 ,License Type: Pharmacy (Community),CLOVERDALE, SONOMA, 95425
44,CVS/PHARMACY #09393 ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95401
45,CVS/PHARMACY #09480 ,License Type: Pharmacy (Community),PETALUMA, SONOMA, 94952
46,CVS/PHARMACY #09597 ,License Type: Pharmacy (Community),CAPITOLA, SANTA CRUZ, 95010
47,CVS/PHARMACY #09656 ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95405
48,CVS/PHARMACY #09712 ,License Type: Pharmacy (Community),FAIRFIELD, SOLANO, 94533
49,CVS/PHARMACY #09761 ,License Type: Pharmacy (Community),BENICIA, SOLANO, 94510
50,CVS/PHARMACY #09763 ,License Type: Pharmacy (Community),PATTERSON, STANISLAUS, 95363
51,CVS/PHARMACY #09796 ,License Type: Pharmacy (Community),WATSONVILLE, SANTA CRUZ, 95076
52,CVS/PHARMACY #09832 ,License Type: Pharmacy (Community),VALLEJO, SOLANO, 94590
53,CVS/PHARMACY #09853 ,License Type: Pharmacy (Community),FELTON, SANTA CRUZ, 95018
54,CVS/PHARMACY #09862 ,License Type: Pharmacy (Community),SCOTTS VALLEY, SANTA CRUZ, 95066
55,CVS/PHARMACY #09884 ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95355
56,CVS/PHARMACY #09919 ,License Type: Pharmacy (Community),TURLOCK, STANISLAUS, 95380
57,CVS/PHARMACY #09928 ,License Type: Pharmacy (Community),ROHNERT PARK, SONOMA, 94928
58,CVS/PHARMACY #09931 ,License Type: Pharmacy (Community),WINDSOR, SONOMA, 95492
59,CVS/PHARMACY #09932 ,License Type: Pharmacy (Community),YUBA CITY, SUTTER, 95993
60,CVS/PHARMACY #09946 ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95401
61,CVS/PHARMACY #09948 ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95405
62,CVS/PHARMACY #09950 ,License Type: Pharmacy (Community),DIXON, SOLANO, 95620
63,CVS/PHARMACY #09960 ,License Type: Pharmacy (Community),CAPITOLA, SANTA CRUZ, 95010
64,CVS/PHARMACY #09973 ,License Type: Pharmacy (Community),WEAVERVILLE, TRINITY, 96093
65,CVS/PHARMACY #09979 ,License Type: Pharmacy (Community),REDDING, SHASTA, 96001
66,CVS/PHARMACY #1173 ,License Type: Pharmacy (Community),HEALDSBURG, SONOMA, 95448
67,CVS/PHARMACY #2994 ,License Type: Pharmacy (Community),TURLOCK, STANISLAUS, 95382
68,CVS/PHARMACY #3039 ,License Type: Pharmacy (Community),WATSONVILLE, SANTA CRUZ, 95076
69,CVS/PHARMACY #3075 ,License Type: Pharmacy (Community),FAIRFIELD, SOLANO, 94534
70,CVS/PHARMACY #3077 ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95355
71,CVS/PHARMACY #3079 ,License Type: Pharmacy (Community),Probation, STANISLAUS, 95367
72,CVS/PHARMACY #3911 ,License Type: Pharmacy (Community),REDDING, SHASTA, 96002
73,CVS/PHARMACY #3937 ,License Type: Pharmacy (Community),RED BLUFF, TEHAMA, 96080
74,CVS/PHARMACY #3944 ,License Type: Pharmacy (Community),OAKDALE, STANISLAUS, 95361
75,CVS/PHARMACY #3952 ,License Type: Pharmacy (Community),APTOS, SANTA CRUZ, 95003
76,CVS/PHARMACY #9152 ,License Type: Pharmacy (Community),SONOMA, SONOMA, 95476
77,CVS/PHARMACY #9163 ,License Type: Pharmacy (Community),PETALUMA, SONOMA, 94954
78,CVS/PHARMACY #9171 ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95350
79,CVS/PHARMACY #9248 ,License Type: Pharmacy (Community),Probation, STANISLAUS, 95350
80,CVS/PHARMACY #9308 ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95351
81,CVS/PHARMACY #9331 ,License Type: Pharmacy (Community),SANTA CRUZ, SANTA CRUZ, 95060
82,CVS/PHARMACY #9332 ,License Type: Pharmacy (Community),SANTA CRUZ, SANTA CRUZ, 95060
83,CVS/PHARMACY #9371 ,License Type: Pharmacy (Community),FAIRFIELD, SOLANO, 94533
84,CVS/PHARMACY #9874 ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95351
85,CVS/PHARMACY #9917 ,License Type: Pharmacy (Community),VACAVILLE, SOLANO, 95687
86,CWD CLOSED DOOR ,License Type: Pharmacy (Community),COTTONWOOD, SHASTA, 96022
87,DELTA PHARMACY ,License Type: Pharmacy (Community),RIO VISTA, SOLANO, 94571
88,DIGNITY HEALTH MERCY ONCOLOGY CENTER PHARMACY ,License Type: Pharmacy (Community),REDDING, SHASTA, 96002
89,DOLLAR DRUG ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95401
90,DOMINICAN HOSPITAL (DOMINICAN INFUSION CENTER) ,License Type: Pharmacy (Community),SANTA CRUZ, SANTA CRUZ, 95065
91,DOMINICAN PLAZA PHARMACY ,License Type: Pharmacy (Community),SANTA CRUZ, SANTA CRUZ, 95065
92,DUTTON COMMUNITY PHARMACY ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95401
93,ELMORE PHARMACY ,License Type: Pharmacy (Community),RED BLUFF, TEHAMA, 96080
94,EMANUEL SPECIALTY CLINIC MEDICAL ONCOLOGY PHARMACY ,License Type: Pharmacy (Community),TURLOCK, STANISLAUS, 95382
95,EVERGREEN PHARMACEUTICAL OF CALIFORNIA INC D/B/A OMNICARE OF SANT ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95404
96,FERRYS PHARMACY ,License Type: Pharmacy (Community),Accusation filed, SHASTA, 96007
97,FLORIDA AVENUE PRESCRIPTIONS ,License Type: Pharmacy (Community),Probation, STANISLAUS, 95350
98,FOODMAXX PHARMACY #486 ,License Type: Pharmacy (Community),WATSONVILLE, SANTA CRUZ, 95076
99,FORESTVILLE PHARMACY ,License Type: Pharmacy (Community),FORESTVILLE, SONOMA, 95436
100,FRANKLIN PHARMACY ,License Type: Pharmacy (Community),YUBA CITY, SUTTER, 95993
101,FRANKS PHARMACY ,License Type: Pharmacy (Community),APTOS, SANTA CRUZ, 95003
102,GATEWAY PHARMACY ,License Type: Pharmacy (Community),FAIRFIELD, SOLANO, 94533
103,GILL PHARMACY ,License Type: Pharmacy (Community),CERES, STANISLAUS, 95307
104,GVHC PMQ WEST MODESTO PHARMACY ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95354
105,HEALTH FIRST PHARMACY ,License Type: Pharmacy (Community),WINDSOR, SONOMA, 95492
106,HORSNYDER PHARMACY ,License Type: Pharmacy (Community),SANTA CRUZ, SANTA CRUZ, 95062
107,KAISER FDN HP PHARMACY #521 ,License Type: Pharmacy (Community),ROHNERT PARK, SONOMA, 94928
108,KAISER HEALTH PLAN 1 EAST PHY 583 ,License Type: Pharmacy (Community),Public Reprimand, SONOMA, 95403
109,KAISER HEALTH PLAN MOB 1 PHY #671 ,License Type: Pharmacy (Community),VACAVILLE, SOLANO, 95688
110,KAISER HEALTH PLAN MOB 1 PHY 211 ,License Type: Pharmacy (Community),VALLEJO, SOLANO, 94590
111,KAISER HEALTH PLAN MOB 2 PHY 212 ,License Type: Pharmacy (Community),VALLEJO, SOLANO, 94590
112,KAISER HEALTH PLAN MOB PHY 401 ,License Type: Pharmacy (Community),FAIRFIELD, SOLANO, 94533
113,KAISER HEALTH PLAN PHY 201 ,License Type: Pharmacy (Community),PETALUMA, SONOMA, 94954
114,KAISER ONCOLOGY PHARMACY #854 ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95356
115,KAISER ONCOLOGY PHRMCY #216 ,License Type: Pharmacy (Community),VALLEJO, SOLANO, 94589
116,KAISER ONCOLOGY PHRMCY #674 ,License Type: Pharmacy (Community),VACAVILLE, SOLANO, 95688
117,KAISER ONCOLOGY PHY #586 ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95403
118,KAISER PERMANENTE PHARMACY #215 ,License Type: Pharmacy (Community),VALLEJO, SOLANO, 94589
119,KAISER PERMANENTE PHARMACY #587 ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95403
120,KAISER PERMANENTE PHARMACY #588 ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95403
121,KAISER PERMANENTE PHARMACY #641 ,License Type: Pharmacy (Community),WATSONVILLE, SANTA CRUZ, 95076
122,KAISER PERMANENTE PHARMACY #701 ,License Type: Pharmacy (Community),SANTA ROSA, SONOMA, 95407
123,KAISER PERMANENTE PHARMACY #771 ,License Type: Pharmacy (Community),SCOTTS VALLEY, SANTA CRUZ, 95066
124,KAISER PERMANENTE PHARMACY #833 ,License Type: Pharmacy (Community),Probation, STANISLAUS, 95357
125,KAISER PERMANENTE PHARMACY NO 851 ,License Type: Pharmacy (Community),MODESTO, STANISLAUS, 95356
