,name,license_type,county,city,zip
0,3175 PHARMACY ,License Type: Pharmacy (Community),SAN FRANCISCO, SAN FRANCISCO, 94110
1,A & O PENINSULA PHARMACY ,License Type: Pharmacy (Community),BURLINGAME, SAN MATEO, 94010
2,ABALA PHARMACY ,License Type: Pharmacy (Community),TRACY, SAN JOAQUIN, 95376
3,ABORN PHARMACY ,License Type: Pharmacy (Community),Accusation filed, SANTA CLARA, 95121
4,ADVENTIST HEALTH LODI MEMORIAL PHARMACY WEST ,License Type: Pharmacy (Community),LODI, SAN JOAQUIN, 95242
5,AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY ,License Type: Pharmacy (Community),SAN FRANCISCO, SAN FRANCISCO, 94114
6,ALPHASCRIPT INC ,License Type: Pharmacy (Community),SAN CARLOS, SAN MATEO, 94070
7,ALTO PHARMACY ,License Type: Pharmacy (Community),SAN FRANCISCO, SAN FRANCISCO, 94107
8,ALUM ROCK PHARMACY ,License Type: Pharmacy (Community),SAN JOSE, SANTA CLARA, 95116
9,ANCHOR DRUGS III ,License Type: Pharmacy (Community),S SAN FRANCISCO, SAN MATEO, 94080
10,ANGKOR PHARMACY ,License Type: Pharmacy (Community),STOCKTON, SAN JOAQUIN, 95207
11,B & B PHARMACY ,License Type: Pharmacy (Community),SAN FRANCISCO, SAN FRANCISCO, 94115
12,BASCOM PHARMACY LLC ,License Type: Pharmacy (Community),SAN JOSE, SANTA CLARA, 95128
13,BERKSHIRE PHARMACY ,License Type: Pharmacy (Community),REDWOOD CITY, SAN MATEO, 94063
14,BESTCARE PHARMACY ,License Type: Pharmacy (Community),ARROYO GRANDE, SAN LUIS OBISPO, 93420
15,BETTER HEALTH PHARMACY ,License Type: Pharmacy (Government Owned Community),SAN JOSE, SANTA CLARA, 95112
16,BJRX PHARMACY INC ,License Type: Pharmacy (Community),STOCKTON, SAN JOAQUIN, 95210
17,BJRX PHARMACY LTC INC ,License Type: Pharmacy (Community),STOCKTON, SAN JOAQUIN, 95210
18,BOB'S PHARMACY ,License Type: Pharmacy (Community),MANTECA, SAN JOAQUIN, 95336
19,BOTIKA LTC ,License Type: Pharmacy (Community),CAMPBELL, SANTA CLARA, 95008
20,BROOKLIN OAKS PHARMACY INC ,License Type: Pharmacy (Community),PASO ROBLES, SAN LUIS OBISPO, 93446
21,BRUCE PHARMACY ,License Type: Pharmacy (Community),STOCKTON, SAN JOAQUIN, 95207
22,CAL POLY HEALTH SERVICES PHARMACY ,License Type: Pharmacy (Government Owned Community),SAN LUIS OBISPO, SAN LUIS OBISPO, 93407
23,CALAVERAS PHARMACY ,License Type: Pharmacy (Community),MILPITAS, SANTA CLARA, 95035
24,CALIFORNIA HEALTH CARE FACILITY ,License Type: Correctional Pharmacy,STOCKTON, SAN JOAQUIN, 95215
25,CALIFORNIA HEALTH CARE FACILITY DEWITT E-YARD ,License Type: Correctional Pharmacy,STOCKTON, SAN JOAQUIN, 95215
26,CALIFORNIA MEN'S COLONY MENTAL HEALTH CRISIS BED PHARMACY ,License Type: Correctional Pharmacy,SAN LUIS OBISPO, SAN LUIS OBISPO, 93409
27,CALMONT PHARMACY ,License Type: Pharmacy (Community),STOCKTON, SAN JOAQUIN, 95204
28,CAMBRIA DRUG & GIFTS ,License Type: Pharmacy (Community),CAMBRIA, SAN LUIS OBISPO, 93428
29,CAMDEN PHARMACY ,License Type: Pharmacy (Community),CAMPBELL, SANTA CLARA, 95008
30,CAMINO PHARMACY ,License Type: Pharmacy (Community),MOUNTAIN VIEW, SANTA CLARA, 94040
31,CAPITOL PHARMACY ,License Type: Pharmacy (Community),SAN JOSE, SANTA CLARA, 95112
32,CARDINAL HEALTH 414 LLC ,License Type: Pharmacy (Community),SAN JOSE, SANTA CLARA, 95112
33,CARE4U PHARMACY ,License Type: Pharmacy (Community),DALY CITY, SAN MATEO, 94015
34,CAREKINESIS ,License Type: Pharmacy (Community),SOUTH SAN FRANCISCO, SAN MATEO, 94080
35,CAYUCOS PHARMACY ,License Type: Pharmacy (Community),CAYUCOS, SAN LUIS OBISPO, 93430
36,CBHS PHARMACY SERVICES ,License Type: Pharmacy (Government Owned Community),SAN FRANCISCO, SAN FRANCISCO, 94103
37,CENTRAL COAST PHARMACY SPECIALISTS ,License Type: Pharmacy (Community),TEMPLETON, SAN LUIS OBISPO, 93465
38,CENTRAL DRUG STORE ,License Type: Pharmacy (Community),Accusation filed, SAN FRANCISCO, 94112
39,CHARLIES DRUG ,License Type: Pharmacy (Community),SAN FRANCISCO, SAN FRANCISCO, 94115
40,CHARTER WAY PHARMACY ,License Type: Pharmacy (Community),STOCKTON, SAN JOAQUIN, 95206
41,CHC PHARMACY ATASCADERO ,License Type: Pharmacy (Community),ATASCADERO, SAN LUIS OBISPO, 93422
42,CHC PHARMACY PASO ROBLES ,License Type: Pharmacy (Community),PASO ROBLES, SAN LUIS OBISPO, 93446
43,CHC PHARMACY SLO ,License Type: Pharmacy (Community),SAN LUIS OBISPO, SAN LUIS OBISPO, 93405
44,CHILDRENS RECOVERY CENTER 2 LLC DBA SARATOGA PEDIATRIC SUBACUTE ,License Type: Pharmacy (Community),SARATOGA, SANTA CLARA, 95070
45,CHINESE HOSPITAL PHARMACY ,License Type: Pharmacy (Community),SAN FRANCISCO, SAN FRANCISCO, 94133
46,CHINESE HOSPITAL PHARMACY ,License Type: Pharmacy (Community),DALY CITY, SAN MATEO, 94015
47,CHOICECARE PHARMACY ,License Type: Pharmacy (Community),S SAN FRANCISCO, SAN MATEO, 94080
48,CITY CARE PHARMACY ,License Type: Pharmacy (Community),SAN JOSE, SANTA CLARA, 95127
49,CLAY MEDICAL PHARMACY ,License Type: Pharmacy (Community),SAN FRANCISCO, SAN FRANCISCO, 94108
50,COMMUNITY A WALGREENS PHARMACY #21141 ,License Type: Pharmacy (Community),PALO ALTO, SANTA CLARA, 94301
51,COMMUNITY HEALTH CENTERS ,License Type: Pharmacy (Community),NIPOMO, SAN LUIS OBISPO, 93444
52,"COMMUNITY MEDICAL CENTERS, PHARMACY ",License Type: Pharmacy (Community),STOCKTON, SAN JOAQUIN, 95202
53,"COMMUNITY, A WALGREENS PHARMACY #15296 ",License Type: Pharmacy (Community),SAN FRANCISCO, SAN FRANCISCO, 94114
54,CONVERSIO HEALTH ,License Type: Pharmacy (Community),SAN LUIS OBISPO, SAN LUIS OBISPO, 93401
55,CORAM CVS/SPECIALTY INFUSION SERVICES ,License Type: Pharmacy (Community),GOLETA, SANTA BARBARA, 93111
56,COSTCO PHARMACY  129 ,License Type: Pharmacy (Community),SANTA CLARA, SANTA CLARA, 95050
57,COSTCO PHARMACY  143 ,License Type: Pharmacy (Community),MOUNTAIN VIEW, SANTA CLARA, 94043
58,COSTCO PHARMACY #1004 ,License Type: Pharmacy (Community),SAN JOSE, SANTA CLARA, 95131
59,COSTCO PHARMACY #1031 ,License Type: Pharmacy (Community),MANTECA, SAN JOAQUIN, 95336
60,COSTCO PHARMACY #1042 ,License Type: Pharmacy (Community),REDWOOD CITY, SAN MATEO, 94063
61,COSTCO PHARMACY #1091 ,License Type: Pharmacy (Community),LODI, SAN JOAQUIN, 95240
62,COSTCO PHARMACY #1267 ,License Type: Pharmacy (Community),SAN JOSE, SANTA CLARA, 95119
63,COSTCO PHARMACY #1275 ,License Type: Pharmacy (Community),SANTA MARIA, SANTA BARBARA, 93454
64,COSTCO PHARMACY #147 ,License Type: Pharmacy (Community),FOSTER CITY, SAN MATEO, 94404
65,COSTCO PHARMACY #148 ,License Type: Pharmacy (Community),SAN JOSE, SANTA CLARA, 95112
66,COSTCO PHARMACY #38 ,License Type: Pharmacy (Community),STOCKTON, SAN JOAQUIN, 95210
67,COSTCO PHARMACY #422 ,License Type: Pharmacy (Community),SOUTH SAN FRANCISCO, SAN MATEO, 94080
