,name,license_type,city,county,zip
0,ALLEGIANCE SPECIALTY PHARMACY ,License Type: Pharmacy (Community),TARZANA, LOS ANGELES, 91356
1,AP10 PHARMACY ,License Type: Pharmacy (Community),SOUTH GATE, LOS ANGELES, 90280
2,APEX INFUSION PHARMACY ,License Type: Pharmacy (Community),SIGNAL HILL, LOS ANGELES, 90755
3,BETTER HEALTH PHARMACY ,License Type: Pharmacy (Community),SUNLAND, LOS ANGELES, 91040
4,CARE PLUS PHARMACY INC ,License Type: Pharmacy (Community),Probation, LOS ANGELES, 91356
5,CORBIN PHARMACY ,License Type: Pharmacy (Community),TARZANA, LOS ANGELES, 91356
6,COSTCO PHARMACY #424 ,License Type: Pharmacy (Community),SIGNAL HILL, LOS ANGELES, 90755
7,CVS PHARMACY #8835 ,License Type: Pharmacy (Community),SOUTH GATE, LOS ANGELES, 90280
8,CVS PHARMACY #9501 ,License Type: Pharmacy (Community),SOUTH GATE, LOS ANGELES, 90280
9,CVS PHARMACY #9643 ,License Type: Pharmacy (Community),SUN VALLEY, LOS ANGELES, 91352
10,CVS PHARMACY #9651 ,License Type: Pharmacy (Community),SYLMAR, LOS ANGELES, 91342
11,CVS PHARMACY #9675 ,License Type: Pharmacy (Community),STUDIO CITY, LOS ANGELES, 91604
12,CVS/PHARMACY # 16044 ,License Type: Pharmacy (Community),SOUTH GATE, LOS ANGELES, 90280
13,CVS/PHARMACY # 17385 ,License Type: Pharmacy (Community),SIGNAL HILL, LOS ANGELES, 90755
14,CVS/PHARMACY #09527 ,License Type: Pharmacy (Community),STUDIO CITY, LOS ANGELES, 91604
15,CVS/PHARMACY #09670 ,License Type: Pharmacy (Community),TARZANA, LOS ANGELES, 91356
16,CVS/PHARMACY #10067 ,License Type: Pharmacy (Community),SOUTH GATE, LOS ANGELES, 90280
17,CVS/PHARMACY #5499 ,License Type: Pharmacy (Community),SOUTH EL MONTE, LOS ANGELES, 91733
18,DR IKES PHARMACY #2 ,License Type: Pharmacy (Community),TARZANA, LOS ANGELES, 91356
19,ELEMENTS PHARMACY ,License Type: Pharmacy (Community),STUDIO CITY, LOS ANGELES, 91604
20,ELITE PHARMACY ,License Type: Pharmacy (Community),TARZANA, LOS ANGELES, 91356
21,FAIR OAKS PHARMACY & SODA FOUNTAIN ,License Type: Pharmacy (Community),SOUTH PASADENA, LOS ANGELES, 91030
22,FIRSTCARE PHARMACY ,License Type: Pharmacy (Community),TARZANA, LOS ANGELES, 91356
23,GARDEN PLAZA PHARMACY ,License Type: Pharmacy (Community),TARZANA, LOS ANGELES, 91356
