,name,license_type,city,county,zip
0,ADVENTIST HEALTH SONORA ,License Type: Pharmacy (Community),SONORA, TUOLUMNE, 95370
1,ADVENTIST HEALTH SONORA ,License Type: Pharmacy (Community),SONORA, TUOLUMNE, 95370
2,ADVENTIST HEALTH SONORA ,License Type: Pharmacy (Community),SONORA, TUOLUMNE, 95370
3,ALAMO PHARMACY ,License Type: Pharmacy (Community),SIMI VALLEY, VENTURA, 93063
4,ALL MED DRUGS ,License Type: Pharmacy (Community),Probation Terminated/Completed, VENTURA, 91360
5,ALPHA PHARMACY ,License Type: Pharmacy (Community),TULARE, TULARE, 93274
6,BOYD'S PHARMACY ,License Type: Pharmacy (Community),VISALIA, TULARE, 93291
7,BREATHERITE PHARMACY ,License Type: Pharmacy (Community),NEWBURY PARK, VENTURA, 91320
8,BURT'S PHARMACY ,License Type: Pharmacy (Community),WESTLAKE VILLAGE, VENTURA, 91361
9,BURT'S PHARMACY LLC ,License Type: Pharmacy (Community),NEWBURY PARK, VENTURA, 91320
10,CABRILLO PHARMACY ,License Type: Pharmacy (Community),VENTURA, VENTURA, 93003
11,CAPITOL PHARMACY INC ,License Type: Pharmacy (Community),WEST SACRAMENTO, YOLO, 95691
12,CARE PHARMACY ,License Type: Pharmacy (Community),Accusation filed, VENTURA, 93003
13,CHERRY STREET PHARMACY ,License Type: Pharmacy (Community),TULARE, TULARE, 93274
14,CLINICAS DEL CAMINO REAL INC-VENTURA ,License Type: Pharmacy (Community),VENTURA, VENTURA, 93004
15,COLLEGE PHARMACY ,License Type: Pharmacy (Community),VENTURA, VENTURA, 93003
16,COMPOUNDIA PHARMACY ,License Type: Pharmacy (Community),WESTLAKE VILLAGE, VENTURA, 91361
17,CORNER DRUG COMPANY INC ,License Type: Pharmacy (Community),WOODLAND, YOLO, 95695
18,CORNER PHARMACY ,License Type: Pharmacy (Community),MOORPARK, VENTURA, 93021
19,COSTCO PHARMACY #1003 ,License Type: Pharmacy (Community),WOODLAND, YOLO, 95776
20,COSTCO PHARMACY #1017 ,License Type: Pharmacy (Community),VISALIA, TULARE, 93277
21,COSTCO PHARMACY #1043 ,License Type: Pharmacy (Community),WEST SACRAMENTO, YOLO, 95605
22,COSTCO PHARMACY #420 ,License Type: Pharmacy (Community),OXNARD, VENTURA, 93036
23,COSTCO PHARMACY 117 ,License Type: Pharmacy (Community),WESTLAKE VILLAGE, VENTURA, 91362
24,COSTCO PHARMACY 128 ,License Type: Pharmacy (Community),SIMI VALLEY, VENTURA, 93065
25,CVS PHARMACY #5551 ,License Type: Pharmacy (Community),TULARE, TULARE, 93274
26,CVS PHARMACY #8520 ,License Type: Pharmacy (Community),OXNARD, VENTURA, 93030
27,CVS PHARMACY #9631 ,License Type: Pharmacy (Community),SIMI VALLEY, VENTURA, 93065
28,CVS PHARMACY #9633 ,License Type: Pharmacy (Community),THOUSAND OAKS, VENTURA, 91360
29,CVS PHARMACY #9683 ,License Type: Pharmacy (Community),VENTURA, VENTURA, 93003
30,CVS PHARMACY #9695 ,License Type: Pharmacy (Community),OXNARD, VENTURA, 93030
31,CVS PHARMACY #9715 ,License Type: Pharmacy (Community),THOUSAND OAKS, VENTURA, 91361
32,CVS PHARMACY #9719 ,License Type: Pharmacy (Community),CAMARILLO, VENTURA, 93012
33,CVS PHARMACY #9764 ,License Type: Pharmacy (Community),CAMARILLO, VENTURA, 93010
34,CVS PHARMACY #9790 ,License Type: Pharmacy (Community),SIMI VALLEY, VENTURA, 93063
35,CVS/PHARMACY # 16070 ,License Type: Pharmacy (Community),SIMI VALLEY, VENTURA, 93065
36,CVS/PHARMACY # 16096 ,License Type: Pharmacy (Community),VENTURA, VENTURA, 93003
37,CVS/PHARMACY # 16414 ,License Type: Pharmacy (Community),CAMARILLO, VENTURA, 93010
38,CVS/PHARMACY # 16475 ,License Type: Pharmacy (Community),THOUSAND OAKS, VENTURA, 91320
39,CVS/PHARMACY # 16875 ,License Type: Pharmacy (Community),MOORPARK, VENTURA, 93021
40,CVS/PHARMACY # 16928 ,License Type: Pharmacy (Community),VISALIA, TULARE, 93277
41,CVS/PHARMACY # 17342 ,License Type: Pharmacy (Community),WEST SACRAMENTO, YOLO, 95691
42,CVS/PHARMACY # 17414 ,License Type: Pharmacy (Community),TULARE, TULARE, 93274
43,CVS/PHARMACY # 17461 ,License Type: Pharmacy (Community),VENTURA, VENTURA, 93003
44,CVS/PHARMACY # 17468 ,License Type: Pharmacy (Community),WOODLAND, YOLO, 95776
45,CVS/PHARMACY # 17477 ,License Type: Pharmacy (Community),PORTERVILLE, TULARE, 93257
46,CVS/PHARMACY # 17508 ,License Type: Pharmacy (Community),DAVIS, YOLO, 95618
47,CVS/PHARMACY # 17515 ,License Type: Pharmacy (Community),SIMI VALLEY, VENTURA, 93065
48,CVS/PHARMACY # 17520 ,License Type: Pharmacy (Community),VISALIA, TULARE, 93291
49,CVS/PHARMACY # 17620 ,License Type: Pharmacy (Community),OXNARD, VENTURA, 93036
50,CVS/PHARMACY # 17648 ,License Type: Pharmacy (Community),WESTLAKE VILLAGE, VENTURA, 91362
51,CVS/PHARMACY #09500 ,License Type: Pharmacy (Community),VISALIA, TULARE, 93292
52,CVS/PHARMACY #09530 ,License Type: Pharmacy (Community),MOORPARK, VENTURA, 93021
53,CVS/PHARMACY #09556 ,License Type: Pharmacy (Community),VENTURA, VENTURA, 93003
54,CVS/PHARMACY #09691 ,License Type: Pharmacy (Community),MARYSVILLE, YUBA, 95901
55,CVS/PHARMACY #09844 ,License Type: Pharmacy (Community),CAMARILLO, VENTURA, 93010
56,CVS/PHARMACY #09845 ,License Type: Pharmacy (Community),PORTERVILLE, TULARE, 93257
57,CVS/PHARMACY #09859 ,License Type: Pharmacy (Community),SIMI VALLEY, VENTURA, 93063
58,CVS/PHARMACY #09969 ,License Type: Pharmacy (Community),VENTURA, VENTURA, 93004
59,CVS/PHARMACY #10026 ,License Type: Pharmacy (Community),SIMI VALLEY, VENTURA, 93065
60,CVS/PHARMACY #2541 ,License Type: Pharmacy (Community),VISALIA, TULARE, 93291
61,CVS/PHARMACY #2944 ,License Type: Pharmacy (Community),PORTERVILLE, TULARE, 93257
62,CVS/PHARMACY #3069 ,License Type: Pharmacy (Community),NEWBURY PARK, VENTURA, 91320
63,CVS/PHARMACY #35 ,License Type: Pharmacy (Community),PORTERVILLE, TULARE, 93257
64,CVS/PHARMACY #3934 ,License Type: Pharmacy (Community),THOUSAND OAKS, VENTURA, 91360
65,CVS/PHARMACY #4652 ,License Type: Pharmacy (Community),PORTERVILLE, TULARE, 93257
66,CVS/PHARMACY #8820 ,License Type: Pharmacy (Community),NEWBURY PARK, VENTURA, 91320
67,CVS/PHARMACY #912 ,License Type: Pharmacy (Community),TULARE, TULARE, 93274
68,CVS/PHARMACY #9142 ,License Type: Pharmacy (Community),DAVIS, YOLO, 95616
69,CVS/PHARMACY #9143 ,License Type: Pharmacy (Community),CAMARILLO, VENTURA, 93012
70,CVS/PHARMACY #9151 ,License Type: Pharmacy (Community),SANTA PAULA, VENTURA, 93060
71,CVS/PHARMACY #9176 ,License Type: Pharmacy (Community),TULARE, TULARE, 93274
72,CVS/PHARMACY #9180 ,License Type: Pharmacy (Community),WOODLAND, YOLO, 95695
