,name,license_type,city,county,zip
0,A & G CARE PHARMACY ,License Type: Pharmacy (Community),WINNETKA, LOS ANGELES, 91306
1,AHF PHARMACY-WEST HOLLYWOOD ,License Type: Pharmacy (Community),WEST HOLLYWOOD, LOS ANGELES, 90046
2,ANNEX PHARMACY AND MEDICAL SUPPLY INC ,License Type: Pharmacy (Community),WINNETKA, LOS ANGELES, 91306
3,AP 7 PHARMACY ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91790
4,BETTER VALUE PHARMACY ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91792
5,BRIGHT PLAZA PHARMACY ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90603
6,CALIFORNIA SPECIALTY PHARMACY INC ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90601
7,CAPITOL DRUGS - WEST HOLLYWOOD ,License Type: Pharmacy (Community),WEST HOLLYWOOD, LOS ANGELES, 90069
8,CAREFIRSTRX ,License Type: Pharmacy (Community),WEST HILLS, LOS ANGELES, 91307
9,CEDARMAK PHARMACY ,License Type: Pharmacy (Community),WEST HOLLYWOOD, LOS ANGELES, 90048
10,CHEMIQUE PHARMACEUTICAL SERVICES ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90602
11,CIENEGA PHARMACY ,License Type: Pharmacy (Community),WEST HOLLYWOOD, LOS ANGELES, 90046
12,CLINISHARE PHARMACY ,License Type: Pharmacy (Community),WEST HILLS, LOS ANGELES, 91304
13,"COMMUNITY, A WALGREENS PHARMACY_#15294 ",License Type: Pharmacy (Community),WEST HOLLYWOOD, LOS ANGELES, 90069
14,CVS PHARMACY #2289 ,License Type: Pharmacy (Community),WINNETKA, LOS ANGELES, 91306
15,CVS PHARMACY #8829 ,License Type: Pharmacy (Community),VENICE, LOS ANGELES, 90291
16,CVS PHARMACY #8840 ,License Type: Pharmacy (Community),WILMINGTON, LOS ANGELES, 90744
17,CVS PHARMACY #9512 ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90603
18,CVS PHARMACY #9638 ,License Type: Pharmacy (Community),WINNETKA, LOS ANGELES, 91306
19,CVS PHARMACY #9652 ,License Type: Pharmacy (Community),WEST HOLLYWOOD, LOS ANGELES, 90069
20,CVS PHARMACY #9687 ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91791
21,CVS PHARMACY #9738 ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90601
22,CVS PHARMACY #9748 ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91792
23,CVS PHARMACY #9852 ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90606
24,CVS/PHARMACY # 16062 ,License Type: Pharmacy (Community),WEST HILLS, LOS ANGELES, 91307
25,CVS/PHARMACY # 16415 ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91791
26,CVS/PHARMACY # 17004 ,License Type: Pharmacy (Community),WEST HOLLYWOOD, LOS ANGELES, 90046
27,CVS/PHARMACY # 17112 ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90603
28,CVS/PHARMACY # 17230 ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91792
29,CVS/PHARMACY #09735 ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91790
30,CVS/PHARMACY #6582 ,License Type: Pharmacy (Community),VENICE, LOS ANGELES, 90291
31,CVS/PHARMACY #9696 ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90604
32,DIABETES CARE PHARMACY ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91790
33,EAST VALLEY PMQ PHARMACY ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91790
34,EASYCARE PHARMACY ,License Type: Pharmacy (Community),WEST HILLS, LOS ANGELES, 91307
35,EZCARE PHARMACY ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91790
36,FAMILY CARE PHARMACY ,License Type: Pharmacy (Community),WEST HILLS, LOS ANGELES, 91307
37,GENESSEE PHARMACY ,License Type: Pharmacy (Community),WEST HOLLYWOOD, LOS ANGELES, 90046
38,HEART DRUGS PHARMACY ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90606
39,KAISER PERMANENTE PHARMACY ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91790
40,KAISER PERMANENTE PHARMACY #63 ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90602
41,LOS ANGELES CO WILMINGTON HLTH CTR PHY ,License Type: Pharmacy (Government Owned Community),WILMINGTON, LOS ANGELES, 90744
42,MAXSON MEDICAL PHARMACY INC ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91790
43,MEDALLION PRESCRIPTION PHARMACY ,License Type: Pharmacy (Community),Accusation filed, LOS ANGELES, 91307
44,MEDCENTA PHARMACY ,License Type: Pharmacy (Community),WEST HILLS, LOS ANGELES, 91307
45,MERCED MEDICAL PHARMACY ,License Type: Pharmacy (Community),WEST COVINA, LOS ANGELES, 91790
46,NATIONAL PHARMACY ,License Type: Pharmacy (Community),WEST HOLLYWOOD, LOS ANGELES, 90046
47,PARK WEST PLAZA PHARMACY ,License Type: Pharmacy (Community),WEST HILLS, LOS ANGELES, 91307
48,PHARMACARE PHARMACY ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90601
49,"PIH HEALTH COMMUNITY PHARMACY, LLC ",License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90602
50,PMQ WINNETKA PHARMACY ,License Type: Pharmacy (Community),WINNETKA, LOS ANGELES, 91306
51,"PROCARE PHARMACY, L.L.C DBA CVS/PHARMACY ",License Type: Pharmacy (Community),WEST HOLLYWOOD, LOS ANGELES, 90069
52,RALPHS PHARMACY 70300064 ,License Type: Pharmacy (Community),WHITTIER, LOS ANGELES, 90605
53,RALPHS PHARMACY 70300213 ,License Type: Pharmacy (Community),WEST HILLS, LOS ANGELES, 91307
54,RALPHS PHARMACY 70300293 ,License Type: Pharmacy (Community),WEST HOLLYWOOD, LOS ANGELES, 90038
