,name,license_type,city,county,zip
0,A & R PHARMACY ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91367
1,ABSOLUTE WELLNESS PHARMACY ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91364
2,BLISS PHARMACY ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91364
3,COSTCO PHARMACY #1205 ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91367
4,CVS PHARMACY #9613 ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91364
5,CVS PHARMACY #9627 ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91364
6,CVS PHARMACY #9682 ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91367
7,CVS/PHARMACY # 16091 ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91364
8,KAISER FOUNDATION HOSP PHCY #401 ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91367
9,KAISER PERMANENTE PHARMACY ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91367
10,KAISER PERMANENTE PHARMACY ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91364
11,KAISER PERMANENTE PHARMACY #401 ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91367
12,KAISER PERMANENTE PHARMACY 436 ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91367
13,RITE AID 5561 ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91364
14,TAFT PHARMACY ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91364
15,TELEHEALTH PHARMACY ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91367
16,WARNER VICTORY PHARMACY ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91367
17,WEST VALLEY PHARMACY ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91364
18,WINNETKA RX PHARMACY LLC D/B/A WINNETKA PHARMACY ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91364
19,WOODLAND HILLS RX PHARMACY ,License Type: Pharmacy (Community),WOODLAND HILLS, LOS ANGELES, 91364
