,zip,total_facils,population,per_capita
0,92683,62.0,91613,0.0006767598484931178
1,90255,44.0,75770,0.0005807047644186353
2,90301,55.0,36429,0.001509786159378517
3,92843,38.0,45211,0.0008405034173099467
4,90027,46.0,46043,0.0009990660903937624
5,92708,42.0,57675,0.0007282184655396619
6,90712,31.0,31722,0.0009772397705062733
7,90638,30.0,49876,0.0006014916994145481
8,93003,50.0,51041,0.000979604631570698
9,91730,72.0,68807,0.0010464051622654672
10,92801,37.0,66657,0.0005550804866705672
11,95630,28.0,74905,0.000373806821974501
12,90505,38.0,37242,0.0010203533644809624
13,92704,26.0,89993,0.00028891135977242673
14,93720,43.0,46402,0.0009266841946467825
15,92618,29.0,29921,0.0009692189432171385
16,90006,31.0,61230,0.0005062877674342643
17,91710,44.0,87071,0.0005053347268321255
18,91205,93.0,37664,0.002469201359388275
19,92335,28.0,99079,0.00028260277152575216
20,91356,45.0,29728,0.001513724434876211
21,91770,34.0,63552,0.0005349949647532729
22,90012,35.0,32543,0.0010755001075500108
23,91750,24.0,34156,0.0007026583909122848
24,91754,33.0,33514,0.0009846631258578504
25,93301,43.0,11555,0.003721332756382518
26,90713,22.0,28833,0.0007630146013248708
27,94538,47.0,66493,0.0007068413216428797
28,93611,24.0,47988,0.0005001250312578145
29,93308,25.0,54497,0.00045874084812008
30,91355,30.0,33129,0.0009055510278004166
31,92503,39.0,94029,0.00041476565740356696
32,95823,33.0,76478,0.00043149663955647377
33,91801,33.0,55265,0.0005971229530444223
34,91744,24.0,86638,0.00027701470486391654
35,92648,19.0,47701,0.0003983145007442192
36,90048,34.0,22722,0.0014963471525393892
37,91786,68.0,52951,0.001284206152858303
38,90033,39.0,49156,0.000793392464805924
39,92025,45.0,53742,0.0008373339287707938
40,93710,34.0,32249,0.0010542962572482868
41,90703,41.0,50442,0.0008128147178938186
42,95825,32.0,33385,0.0009585143028306125
43,91748,21.0,46565,0.0004509824975840223
44,90650,35.0,106360,0.0003290710793531403
45,90211,31.0,8129,0.0038135071964571286
46,91204,53.0,17681,0.0029975680108591143
47,93065,48.0,72211,0.0006647186716705211
48,93454,52.0,38980,0.0013340174448435095
49,93534,44.0,38994,0.0011283787249320408
50,95926,32.0,38465,0.0008319251267385935
51,91761,29.0,59933,0.00048387365891912635
52,95661,38.0,31034,0.0012244634916543146
53,90631,24.0,68971,0.00034797233619927214
54,90303,16.0,25134,0.0006365878889154134
55,92262,32.0,27561,0.0011610609194151157
56,92211,21.0,24623,0.0008528611460829306
57,90280,21.0,95219,0.00022054421911593274
58,92103,34.0,33873,0.0010037492988515927
59,92037,24.0,38659,0.0006208127473550791
60,92804,29.0,86220,0.0003363488749710044
61,91910,25.0,76027,0.00032883054704249806
62,91776,27.0,37843,0.0007134740903205349
63,91344,40.0,53290,0.0007506098705197974
64,92840,29.0,56256,0.0005155005688282139
65,91505,47.0,30985,0.0015168629982249475
66,92705,33.0,47515,0.0006945175207829107
67,93010,26.0,44761,0.0005808628046737115
68,93291,30.0,56298,0.0005328786102525844
69,93277,29.0,52526,0.0005521075277005673
70,93030,26.0,60582,0.00042917038064111453
71,91360,35.0,43222,0.0008097728008884365
72,90020,19.0,40170,0.0004729897933781429
73,91402,40.0,71765,0.0005573747648575211
74,92868,42.0,27232,0.0015423031727379553
75,90640,37.0,63461,0.0005830352499960606
76,95020,29.0,61480,0.0004716981132075472
77,90706,31.0,77687,0.0003990371619447269
78,91406,40.0,55385,0.0007222172068249526
79,91405,77.0,54356,0.0014165869453234233
80,92201,25.0,64436,0.0003879818734868707
81,90806,34.0,42312,0.0008035545471733787
82,92691,23.0,49471,0.00046491884134139194
83,92111,24.0,48380,0.0004960727573377428
84,95350,35.0,51441,0.0006803911276996948
85,91745,20.0,54043,0.0003700756804766575
86,94583,27.0,35174,0.0007676124410075624
87,93230,29.0,66109,0.00043866947011753316
88,91202,20.0,23219,0.0008613635384814161
89,92507,24.0,57347,0.0004185048912759168
90,91335,37.0,80161,0.0004615710881850276
91,95207,32.0,49632,0.0006447453255963894
92,93309,34.0,59492,0.000571505412492436
93,92123,45.0,30202,0.0014899675518177604
94,93727,29.0,79314,0.00036563532289381445
95,92653,33.0,29028,0.0011368334022323274
96,95758,24.0,63778,0.00037630530904073507
97,90046,17.0,50923,0.00033383736229208806
98,90057,37.0,48302,0.0007660138296550868
99,91767,34.0,49483,0.0006871046622072227
100,94118,24.0,41662,0.0005760645192261533
101,92647,19.0,61285,0.0003100269233907155
102,90250,27.0,96987,0.0002783878251724458
103,92562,28.0,64222,0.00043598766777739717
104,93311,17.0,45512,0.0003735278607839691
105,90660,22.0,63684,0.000345455687456818
106,92879,21.0,46487,0.0004517391959042313
